Arrête	Vvc	arrête
,	Fw	,
nous	Pp	nous
voici	S	voici
dans	S	dans
la	Da	le
rue	Nc	rue
,	Fw	,
où	Pr	où
demeure	Vvc	demeurer
L'	Vvc	l'
inflexible	Ag	inflexible
beauté	Nc	beauté
,	Fw	,
qui	Pr	qui
consent	Vvc	consentir
que	Cs	que
je	Pp	je
meure	Vvc	murer
;	Fw	;
J'	Vvc	j'
aperçois	Vvc	apercevoir
son	Ds	son
logis	Nc	logis
.	Fs	.
Apercevez	Vvc	apercevoir
aussi	Rg	aussi
Que	Vvc	que
de	S	de
votre	Ds	votre
tourment	Nc	tourment
elle	Pp	il
a	Vuc	avoir
peu	Rg	peu
de	S	de
souci	Nc	souci
.	Fs	.
Depuis	S	depuis
cinq	Nc	cinq
ou	Cc	ou
six	Nc	six
mois	Nc	moi|mois
que	Pr	que
vous	Pp	vous
brûlez	Vvc	brûler
pour	S	pour
elle	Pp	il
,	Fw	,
Ne	Vvc	ne
vous	Pp	vous
est	Vuc	être
elle	Pp	il
pas	Rg	pas
également	Rg	également
cruelle	Ag	cruel
?	Fs	?
L'	Da	le
absence	Nc	absence
d'	S	de
un	Dn	un
mari	Nc	mari
vous	Pp	vous
flatte	Vvc	flatter
sans	S	sans
raison	Nc	raison
,	Fw	,
L'	Vvc	l'
amour	Nc	amour
qu'	Pr	que
elle	Pp	il
lui	Pp	il
porte	Vvc	porter
,	Fw	,
est	Vuc	être
sans	S	sans
comparaison	Nc	comparaison
.	Fs	.
En	S	en
quelque	Di	quelque
lieu	Nc	lieu
qu'	Pr	que
il	Pp	il
soit	Vuc	être
,	Fw	,
il	Pp	il
possède	Vvc	posséder
son	Ds	son
âme	Nc	âme
,	Fw	,
Et	Vvc	et
la	Da	le
vertu	Nc	vertu
du	S+Da	de+le
sexe	Nc	sexe
,	Fw	,
est	Vuc	être
toute	Rg	toute
en	S	en
cette	Dd	ce
femme	Nc	femme
;	Fw	;
Je	Vvc	je
ne	Rp	ne
suis	Vuc	être
qu'	Rg	que
un	Dn	un
valet	Nc	valet
ignorant	Ag	ignorant
et	Cc	et
brutal	Ag	brutal
,	Fw	,
Mais	Vvc	mais
si	Cs	si
vous	Pp	vous
me	Pp	je
croyez	Vvc	croire
,	Fw	,
vous	Pp	vous
ne	Rp	ne
feriez	Vvc	faire|ferrer
pas	Rg	pas
mal	Rg	mal
,	Fw	,
Cessez	Vvc	cesser
d'	S	de
une	Dn	un
poursuite	Nc	poursuite
injuste	Ag	injuste
autant	Rg	autant
que	Rg	que
vaine	Ag	vain
,	Fw	,
Vous	Nc	vous
ferez	Vvc	faire|ferrer
plus	Rg	plus
ailleurs	Rg	ailleurs
avecque	Vvc	avecque
moins	Rg	moins
de	S	de
peine	Nc	peine
Et	Vvc	et
n'	Rp	ne
offenserez	Vvc	offenser
pas	Rg	pas
dans	S	dans
votre	Ds	votre
passion	Nc	passion
,	Fw	,
D'	Nc	d'
un	Dn	un
ancien	Ag	ancien
ami	Nc	ami
la	Da	le
pure	Ag	pur
affection	Nc	affection
.	Fs	.
Oui	Rg	oui
,	Fw	,
tu	Pp	tu
n'	Rp	ne
es	Vuc	être
qu'	Rg	que
un	Dn	un
valet	Nc	valet
,	Fw	,
ce	Dd	ce
propos	Nc	propos
me	Pp	je
le	Pp	il
montre	Vvc	montrer
;	Fw	;
L'	Vvc	l'
on	Pp	on
ne	Rp	ne
respecte	Vvc	respecter
rien	Pi	rien
en	S	en
pareille	Ag	pareil
rencontre	Nc	rencontre
.	Fs	.
Les	Da	le
plus	Rg	plus
parfaits	Ag	parfait
amis	Nc	ami
,	Fw	,
les	Da	le
plus	Rg	plus
proches	Ag	proche
parents	Nc	parent
Ne	Ag	ne
passent	Vvc	passer
en	S	en
amour	Nc	amour
que	Cs	que
pour	S	pour
indifférents	Ag	indifférent
.	Fs	.
Léandre	Nc	léandre
,	Fw	,
je	Pp	je
l'	Pp	il
avoue	Vvc	avouer
,	Fw	,
est	Vuc	être
bien	Rg	bien
dans	S	dans
mon	Ds	mon
estime	Nc	estime
;	Fw	;
Mon	Nc	mon
bras	Nc	bras
pour	S	pour
le	Pp	il
servir	Vvn	servir
tiendrait	Vvc	tenir
tout	Di	tout
légitime	Ag	légitime
:	Fw	:
Mais	Cc	mais
au	S+Da	à+le
terme	Nc	terme
où	Pr	où
sa	Ds	son
femme	Nc	femme
aujourd'hui	Rg	aujourd'hui
m'	Pp	je
a	Vuc	avoir
rendu	Ge	rendre
;	Fw	;
Crois	Vvc	croire|croître
que	Cs	que
pour	S	pour
en	Pp	en
jouir	Vvn	jouir
,	Fw	,
rien	Pi	rien
ne	Rp	ne
m'	Pp	je
est	Vuc	être
défendu	Ge	défendre
.	Fs	.
Suis	Vvc	suivre
moi	Pp	je
sans	S	sans
répliquer	Vvn	répliquer
,	Fw	,
je	Pp	je
m'	Pp	je
en	Pp	en
vais	Vvc	aller
à	S	à
sa	Ds	son
porte	Nc	porte
Prendre	Vvc	prendre
l'	Da	le
occasion	Nc	occasion
que	Cs	que
quelqu'un	Pi	quelqu'un
entre	S	entre
ou	Pr	où
sorte	Vvc	sortir
.	Fs	.
Éteins	Vvc	éteins
donc	Rg	donc
le	Da	le
flambeau	Nc	flambeau
.	Fs	.
Cela	Pd	cela
vaut	Vvc	valoir
fait	Ge	faire
.	Fs	.
Allons	Vvc	aller
,	Fw	,
Mais	Vvc	mais
ciel	Nc	ciel
qu'	Pr	que
