Invincibles	Ag	invincible
Anglais	Vvc	anglais
,	Fw	,
peuple	Nc	peuple
jadis	Rg	jadis
fidèle	Ag	fidèle
,	Fw	,
Et	Vvc	et
maintenant	Rg	maintenant
ingrat	Ag	ingrat
,	Fw	,
pardonnez	Vvc	pardonner
à	S	à
mon	Ds	mon
zèle	Nc	zèle
,	Fw	,
Le	Vvc	le
devoir	Vvn	devoir
d'	S	de
un	Dn	un
sujet	Nc	sujet
anime	Vvc	animer
mon	Ds	mon
courroux	Nc	courroux
,	Fw	,
Et	Vvc	et
de	S	de
vos	Ds	votre
actions	Nc	action
me	Pp	je
fait	Vvc	faire
rougir	Vvn	rougir
pour	S	pour
vous	Pp	vous
,	Fw	,
Oui	Vvc	oui
peuple	Nc	peuple
,	Fw	,
je	Pp	je
rougis	Vvc	rougir
de	S	de
honte	Nc	honte
et	Cc	et
de	S	de
colère	Nc	colère
,	Fw	,
Et	Vvc	et
cette	Dd	ce
lâcheté	Nc	lâcheté
si	Rg	si
visible	Ag	visible
et	Cc	et
si	Rg	si
claire	Ag	clair
,	Fw	,
Qui	Vvc	qui
vous	Pp	vous
laisse	Vvc	laisser
survivre	Vvn	survivre
à	S	à
vos	Ds	votre
Princes	Nc	prince
trahis	Vvc	trahir
,	Fw	,
Me	Vvc	me
défend	Vvc	défendre
aujourd'hui	Rg	aujourd'hui
d'	S	de
avouer	Vvn	avouer
mon	Ds	mon
pays	Nc	pays
:	Fw	:
Cette	Dd	ce
fidélité	Nc	fidélité
si	Rg	si
rare	Ag	rare
et	Cc	et
si	Rg	si
connue	Ge	connaître
,	Fw	,
Par	Nc	par
qui	Pr	qui
cette	Dd	ce
couronne	Nc	couronne
autrefois	Rg	autrefois
maintenue	Ge	maintenir
,	Fw	,
Bravait	Vvc	braver
,	Fw	,
en	S	en
sûreté	Nc	sûreté
ses	Ds	son
plus	Rg	plus
grands	Ag	grand
ennemis	Nc	ennemi
,	Fw	,
Consent-elle	Vvc	consent-elle
aux	S+Da	à+les
forfaits	Nc	forfait
que	Pr	que
vous	Pp	vous
avez	Vuc	avoir
commis	Ge	commettre
'	Vvc	'
Cependant	Ga	cependant
qu'	Cs	que
une	Dn	un
femme	Nc	femme
abat	Vvc	abattre
ce	Dd	ce
grand	Ag	grand
courage	Nc	courage
,	Fw	,
Qu'	Vvc	qu'
un	Dn	un
lâche	Ag	lâche
usurpateur	Nc	usurpateur
vous	Pp	vous
retient	Vvc	retenir
en	S	en
servage	Nc	servage
,	Fw	,
Votre	Nc	votre
Reine	Vvc	reine
campée	Ge	camper
au	S+Da	à+le
bout	Nc	bout
de	S	de
vos	Ds	votre
fossés	Nc	fossé
Attend	Vvc	attendre
votre	Ds	votre
secours	Nc	secours
,	Fw	,
et	Cc	et
vous	Pp	vous
la	Pp	il
repoussez	Vvc	repousser
;	Fw	;
Elle	Vvc	elle
vous	Pp	vous
tend	Vvc	tendre
les	Da	le
bras	Nc	bras
,	Fw	,
vous	Pp	vous
somme	Vvc	sommer
et	Cc	et
vous	Pp	vous
accorde	Vvc	accorder
Ce	Vvc	ce
que	Cs	que
vous	Pp	vous
refusez	Vvc	refuser
de	S	de
sa	Ds	son
miséricorde	Nc	miséricorde
.	Fs	.
Ô	Vvc	ô
piété	Nc	piété
bannie	Ge	bannir
!	Fs	!
Ô	Vvc	ô
foi	Nc	foi
que	Pr	que
nous	Pp	nous
devons	Vvc	devoir
Aux	Ag	aux
Princes	Nc	prince
souverains	Nc	souverain
de	S	de
qui	Pr	qui
nous	Pp	nous
relevons	Vvc	relever
!	Fs	!
Ô	Nc	ô
Majesté	Vvc	majesté
jadis	Rg	jadis
si	Rg	si
sainte	Ag	saint
et	Cc	et
si	Rg	si
sacrée	Ge	sacrer
,	Fw	,
Faut-il	Vvc	faut-il
que	Cs	que
ta	Ds	ton
grandeur	Nc	grandeur
soit	Vuc	être
si	Rg	si
peu	Rg	peu
révérée	Ge	révérer
'	Vvc	'
Qu'	Vvc	qu'
un	Dn	un
traître	Nc	traître
réussisse	Vvc	réussir
en	S	en
ses	Ds	son
lâches	Ag	lâche
projets	Nc	projet
,	Fw	,
Qu'	Vvc	qu'
il	Pp	il
s'	Pp	se
arme	Vvc	armer
contre	S	contre
toi	Pp	tu
de	S	de
tes	Ds	ton
propres	Ag	propre
sujets	Nc	sujet
,	Fw	,
Et	Vvc	et
que	Cs	que
ceux	Pd	celui
que	Pr	que
le	Da	le
Ciel	Nc	ciel
a	Vuc	avoir
fait	Ge	faire
Dieux	Ag	dieux
de	S	de
la	Da	le
terre	Nc	terre
,	Fw	,
Soient	Vvc	savoir
chassés	Ge	chasser
et	Cc	et
bannis	Vvc	bannir
dans	S	dans
la	Da	le
seule	Ag	seul
Angleterre	Nc	angleterre
.	Fs	.
Je	Pp	je
m'	Pp	je
emporte	Vvc	emporter
,	Fw	,
il	Pp	il
est	Vuc	être
vrai	Ag	vrai
,	Fw	,
mais	Cc	mais
dans	S	dans
ce	Dd	ce
souvenir	Nc	souvenir
À	Nc	à
peine	Nc	peine
mes	Ds	mon
amis	Nc	ami
me	Pp	je
puis	Vvc	pouvoir
-je	Vvc	-je
retenir	Vvn	retenir
,	Fw	,
Quand	Nc	quand
cette	Dd	ce
trahison	Nc	trahison
revient	Vvc	revenir
à	S	à
ma	Ds	mon
mémoire	Nc	mémoire
,	Fw	,
Et	Vvc	et
que	Cs	que
je	Pp	je
suis	Vuc	être
témoin	Ag	témoin
d'	S	de
une	Dn	un
action	Nc	action
si	Rg	si
noire	Ag	noir
,	Fw	,
Que	Vvc	que
je	Pp	je
vous	Pp	vous
vois	Vvc	voir
subir	Vvn	subir
une	Dn	un
honteuse	Ag	honteux
loi	Nc	loi
,	Fw	,
Je	Vvc	je
ne	Rp	ne
vous	Pp	vous
connais	Vvc	connaître
plus	Rg	plus
,	Fw	,
ou	Cc	ou
je	Pp	je
vous	Pp	vous
méconnais	Vvc	méconnaître
:	Fw	:
En	S	en
un	Dn	un
mot	Nc	mot
de	S	de
sujets	Nc	sujet
si	Rg	si
vaillants	Ag	vaillant
et	Cc	et
si	Rg	si
braves	Ag	brave
,	Fw	,
Par	Nc	par
votre	Ds	votre
lâcheté	Nc	lâcheté
vous	Pp	vous
vous	Pp	vous
rendez	Vvc	rendre
esclaves	Ag	esclave
,	Fw	,
Et	Vvc	et
je	Pp	je
croirais	Vvc	croire
encor	Nc	encor
votre	Ds	votre
sort	Nc	sort
assez	Rg	assez
doux	Ag	doux
Si	Nc	si
vous	Pp	vous
n'	Rp	ne
étiez	Vuc	être
sujets	Nc	sujet
d'	S	de
un	Dn	un
sujet	Nc	sujet
comme	S	comme
vous	Pp	vous
:	Fw	:
Le	Da	le
Duc	Nc	duc
de	S	de
Northbelant	Ga	northbelant
par	S	par
ses	Ds	son
trames	Nc	trame
perfides	Ag	perfide
Impose	Vvc	imposer
un	Dn	un
joug	Nc	joug
honteux	Ag	honteux
à	S	à
vos	Ds	votre
âmes	Nc	âme
timides	Ag	timide
,	Fw	,
Élevant	Nc	élevant
une	Dn	un
femme	Nc	femme
à	S	à
ce	Dd	ce
superbe	Ag	superbe
rang	Nc	rang
,	Fw	,
Où	Vvc	où
son	Ds	son
ambition	Nc	ambition
veut	Vvc	vouloir
élever	Vvn	élever
son	Ds	son
sang	Nc	sang
.	Fs	.
Sur	S	sur
sa	Ds	son
tête	Nc	tête
coupable	Ag	coupable
il	Pp	il
a	Vuc	avoir
mis	Ge	mettre
la	Da	le
couronne	Nc	couronne
,	Fw	,
