Certes	Rg	certes
,	Fw	,
c'	Pd	ce
est	Vuc	être
renchérir	Nc	renchérir
dessus	S	dessus
les	Da	le
plus	Rg	plus
galants	Ag	galant
,	Fw	,
Cette	Vvc	cette
confusion	Nc	confusion
de	S	de
noeuds	Nc	nœud
et	Cc	et
de	S	de
rubans	Nc	ruban
,	Fw	,
Ne	Vvc	ne
témoignent	Vvc	témoigner
que	Rg	que
trop	Rg	trop
ce	Pd	ce
dont	Pr	dont
aucun	Pi	aucun
ne	Rp	ne
doute	Vvc	douter
Qu'	Vvc	qu'
un	Dn	un
amant	Nc	amant
est	Vuc	être
prodigue	Ge	prodiguer
,	Fw	,
et	Cc	et
que	Cs	que
rien	Pi	rien
ne	Rp	ne
lui	Pp	il
coûte	Vvc	coûter
.	Fs	.
Vous	Pp	vous
me	Pp	je
raillez	Vvc	railler
toujours	Rg	toujours
...	Fs	...
Que	Vvc	que
vos	Ds	votre
gants	Nc	gant|gants
sentent	Vvc	sentir
bon	Ag	bon
!	Fs	!
Est	Vuc	être
-ce	Vvc	-ce
de	S	de
Martial	Nc	martial
ou	Pr	où
Frangipane	Vvc	frangipane
?	Fs	?
Non	Rg	non
,	Fw	,
Ce	Vvc	ce
sont	Vuc	être
des	Dn	un
peaux	Nc	peau
d'	S	de
Espagne	Nc	espagne
.	Fs	.
Elles	Pp	ils
en	Pp	en
sont	Vuc	être
plus	Rg	plus
chères	Ag	cher
.	Fs	.
L'	Da	le
ambassadeur	Nc	ambassadeur
pourtant	Rg	pourtant
m'	Pp	je
en	Pp	en
donna	Vvc	donner
deux	Nc	deux
cents	Nc	cent
paires	Nc	paire
.	Fs	.
Dans	S	dans
Rome	Nc	rome
?	Fs	?
Point	Rg	point
du	S+Da	de+le
tout	Pi	tout
.	Fs	.
Où	Vvc	où
donc	Rg	donc
?	Fs	?
Dedans	Rg	dedans
Paris	Vvc	paris
.	Fs	.
Ne	Rp	ne
vous	Pp	vous
étonnez	Vvc	étonner
pas	Rg	pas
cher	Ag	cher
ami	Nc	ami
si	Cs	si
je	Pp	je
ris	Vvc	rire
,	Fw	,
Était	Nc	était
-ce	Vvc	-ce
depuis	S	depuis
peu	Rg	peu
?	Fs	?
La	Da	le
semaine	Nc	semaine
passée	Ge	passer
.	Fs	.
Votre	Ds	votre
langue	Nc	langue
à	S	à
ce	Dd	ce
coup	Nc	coup
précède	Vvc	précéder
la	Da	le
pensée	Nc	pensée
,	Fw	,
Et	Vvc	et
vous	Pp	vous
n'	Rp	ne
y	Pp	y
songiez	Vvc	songer
pas	Rg	pas
en	S	en
me	Pp	je
parlant	Ga	parler
ainsi	Rg	ainsi
.	Fs	.
Pourquoi	Rt	pourquoi
?	Fs	?
D'	S	de
ambassadeur	Nc	ambassadeur
il	Pp	il
n'	Rp	ne
en	Pp	en
vient	Vvc	venir
point	Rg	point
ici	Rg	ici
,	Fw	,
Et	Vvc	et
l'	Da	le
Espagne	Nc	espagne
,	Fw	,
Ah	Vvc	ah
!	Fs	!
Voyez	Vvc	voir
à	S	à
quoi	Pr	quoi
je	Pp	je
me	Pp	je
hasarde	Vvc	hasarder
,	Fw	,
J'	Vvc	j'
en	Pp	en
aurais	Vuc	avoir
dit	Ge	dire
autant	Rg	autant
.	Fs	.
Au	S+Da	à+le
moins	Nc	moins
prenez	Vvc	prendre
y	Pp	y
garde	Nc	garde
,	Fw	,
Il	Vvc	il
fait	Ge	faire
bon	Ag	bon
d'	S	de
en	Pp	en
donner	Vvn	donner
,	Fw	,
mais	Cc	mais
c'	Pd	ce
est	Vuc	être
un	Dn	un
grand	Ag	grand
malheur	Nc	malheur
Quelque	Vvc	quelque
habile	Ag	habile
qu'	Cs	que
on	Pp	on
soit	Vuc	être
de	S	de
passer	Vvn	passer
pour	S	pour
hâbleur	Nc	hâbleur
,	Fw	,
Si	Vvc	si
lorsqu'	Cs	lorsque
on	Pp	on
s'	Pp	se
introduit	Vvc	introduire
dedans	Rg	dedans
les	Da	le
compagnies	Nc	compagnie
,	Fw	,
On	Vvc	on
ne	Rp	ne
concerte	Vvc	concerter
bien	Rg	bien
toutes	Di	tout
ses	Ds	son
menteries	Nc	menterie
,	Fw	,
Et	Vvc	et
si	Cs	si
l'	Pp	il
on	Pp	on
n'	Rp	ne
a	Vuc	avoir
l'	Da	le
esprit	Nc	esprit
de	S	de
les	Pp	ils
faire	Vvn	faire
avouer	Vvn	avouer
,	Fw	,
Ce	Vvc	ce
n'	Rp	ne
est	Vuc	être
qu'	Rg	que
un	Dn	un
beau	Ag	beau
talent	Nc	talent
pour	S	pour
se	Pp	il
faire	Vvn	faire
jouer	Vvn	jouer
.	Fs	.
Pour	S	pour
moi	Pp	je
qui	Pr	qui
comme	S	comme
vous	Pp	vous
en	S	en
revenant	Ga	revenir
de	S	de
Rome	Nc	rome
,	Fw	,
Partout	Vvc	partout
où	Pr	où
je	Pp	je
pouvais	Vvc	pouvoir
en	Pp	en
donnais	Vvc	donner
en	S	en
jeune	Ag	jeune
homme	Nc	homme
,	Fw	,
Et	Vvc	et
voulais	Vvc	vouloir
tout	Rg	tout
risquer	Vvn	risquer
pour	S	pour
faire	Vvn	faire
le	Da	le
plaisant	Nc	plaisant
,	Fw	,
Je	Vvc	je
reconnais	Vvc	reconnaître
fort	Rg	fort
bien	Rg	bien
mes	Ds	mon
faibles	Nc	faible
à	S	à
présent	Nc	présent
:	Fw	:
Et	Cc	et
puis	Vvc	pouvoir
en	S	en
me	Pp	je
voyant	Ga	voir
dans	S	dans
un	Dn	un
autre	Pi	autre
moi-même	Pp	lui-même
Vous	Vvc	vous
tirer	Vvn	tirer
aujourd'hui	Rg	aujourd'hui
d'	S	de
un	Dn	un
embarras	Nc	embarra|embarras
extrême	Ag	extrême
.	Fs	.
Mais	Cc	mais
quoi	Pt	quoi
!	Fs	!
Vous	Pp	vous
me	Pp	je
disiez	Vvc	dire
qu'	Cs	que
on	Pp	on
peut	Vvc	pouvoir
parfois	Rg	parfois
mentir	Vvn	mentir
.	Fs	.
Oui	Rg	oui
,	Fw	,
mais	Cc	mais
il	Pp	il
faut	Vvc	faillir|falloir
avoir	Vun	avoir
l'	Da	le
adresse	Nc	adresse
d'	S	de
en	Pp	en
sortir	Vvn	sortir
.	Fs	.
Combien	Rg	combien
un	Dn	un
honnête	Ag	honnête
homme	Nc	homme
en	S	en
ses	Ds	son
galanteries	Nc	galanterie
,	Fw	,
Peut-il	Vvc	peut-il
de	S	de
fois	Nc	fois
par	S	par
jour	Nc	jour
donner	Vvn	donner
des	Dn	un
menteries	Nc	menterie
?	Fs	?
Il	Pp	il
faut	Vvc	faillir|falloir
selon	S	selon
les	Da	le
gens	Nc	gens|gent
régler	Vvn	régler
la	Da	le
quantité	Nc	quantité
,	Fw	,
Apprendre	Vvc	apprendre
leur	Ds	leur
humeur	Nc	humeur
,	Fw	,
savoir	Vvn	savoir
leur	Ds	leur
qualité	Nc	qualité
;	Fw	;
Mais	Vvc	mais
lorsque	Cs	lorsque
vous	Pp	vous
voudrez	Vvc	vouloir
donner	Vvn	donner
quelque	Di	quelque
cassade	Nc	cassade
,	Fw	,
Consultez	Vvc	consulter
-moi	Vvc	-moi
devant	S	devant
pour	S	pour
régler	Vvn	régler
la	Da	le
boutade	Nc	boutade
,	Fw	,
Le	Vvc	le
