Oui	Rg	oui
,	Fw	,
puisque	Cs	puisque
je	Pp	je
retrouve	Vvc	retrouver
un	Dn	un
ami	Nc	ami
si	Rg	si
fidèle	Ag	fidèle
,	Fw	,
Ma	Vvc	ma
fortune	Nc	fortune
va	Vvc	aller
prendre	Vvn	prendre
une	Dn	un
face	Nc	face
nouvelle	Ag	nouveau
:	Fw	:
Et	Cc	et
déjà	Rg	déjà
son	Ds	son
courroux	Nc	courroux
semble	Vvc	sembler
s'	Pp	se
être	Vun	être
adouci	Ge	adoucir
,	Fw	,
Depuis	Vvc	depuis
qu'	Cs	que
elle	Pp	il
a	Vuc	avoir
pris	Ge	prendre
soin	Nc	soin
de	S	de
nous	Pp	nous
rejoindre	Vvn	rejoindre
ici	Rg	ici
.	Fs	.
Qui	Pr	qui
l'	Pp	il
eût	Vuc	avoir
dit	Ge	dire
?	Fs	?
Qu'	Cs	que
un	Dn	un
rivage	Nc	rivage
à	S	à
mes	Ds	mon
voeux	Nc	vœu
si	Rg	si
funeste	Ag	funeste
,	Fw	,
Présenterait	Vvc	présenterait
d'abord	Ag	d'abord
Pylade	Nc	pylade
aux	S+Da	à+les
yeux	Nc	œil
d'	S	de
Oreste	Nc	oreste
;	Fw	;
Qu'	Vvc	qu'
après	S	après
plus	Rg	plus
de	S	de
six	Nc	six
mois	Nc	moi|mois
que	Pr	que
je	Pp	je
t'	Pp	tu
avais	Vuc	avoir
perdu	Ge	perdre
,	Fw	,
À	Nc	à
la	Da	le
Cour	Nc	cour
de	S	de
Pyrrhus	Nc	pyrrhus
tu	Pp	tu
me	Pp	je
serais	Vuc	être
rendu	Ge	rendre
?	Fs	?
J'	Pp	je
en	Pp	en
rends	Vvc	rendre
grâces	Nc	grâce
au	S+Da	à+le
ciel	Nc	ciel
,	Fw	,
qui	Pr	qui
m'	Pp	je
arrêtant	Ga	arrêter
sans	S	sans
cesse	Nc	cesse
,	Fw	,
Semblait	Vvc	sembler
m'	Pp	je
avoir	Vun	avoir
fermé	Ge	fermer
le	Da	le
chemin	Nc	chemin
de	S	de
la	Da	le
Grèce	Nc	grèce
,	Fw	,
Depuis	Vvc	depuis
le	Da	le
jour	Nc	jour
fatal	Ag	fatal
que	Pr	que
la	Da	le
fureur	Nc	fureur
des	S+Da	de+le|de+les
eaux	Nc	eau
Presque	Ag	presque
aux	S+Da	à+les
yeux	Nc	œil
de	S	de
l'	Da	le
Épire	Nc	épire
,	Fw	,
écarta	Vvc	écarter
nos	Ds	notre
vaisseaux	Nc	vaisseau
.	Fs	.
Combien	Rg	combien
dans	S	dans
cet	Dd	ce
exil	Nc	exil
ai	Vuc	avoir
-je	Ge	-je
souffert	Ge	souffrir
d'	S	de
alarmes	Nc	alarme
,	Fw	,
Combien	Vvc	combien
à	S	à
vos	Ds	votre
malheurs	Nc	malheur
ai	Vuc	avoir
-je	Ge	-je
donné	Ge	donner
de	S	de
larmes	Nc	larme
?	Fs	?
Craignant	Ga	craindre
toujours	Rg	toujours
pour	S	pour
vous	Pp	vous
quelque	Di	quelque
nouveau	Ag	nouveau
danger	Nc	danger
,	Fw	,
Que	Vvc	que
ma	Ds	mon
triste	Ag	triste
amitié	Nc	amitié
ne	Rp	ne
pouvait	Vvc	pouvoir
partager	Vvn	partager
.	Fs	.
Surtout	Rg	surtout
je	Pp	je
redoutais	Vvc	redouter
cette	Dd	ce
mélancolie	Nc	mélancolie
Où	Vvc	où
j'	Pp	je
ai	Vuc	avoir
vu	Ge	voir
si	Rg	si
longtemps	Rg	longtemps
votre	Ds	votre
âme	Nc	âme
ensevelie	Ge	ensevelir
.	Fs	.
Je	Pp	je
craignais	Vvc	craindre
que	Cs	que
le	Da	le
ciel	Nc	ciel
,	Fw	,
par	S	par
un	Dn	un
cruel	Ag	cruel
secours	Nc	secours
,	Fw	,
Ne	Vvc	ne
vous	Pp	vous
offrît	Vvc	offrir
la	Da	le
mort	Nc	mort
,	Fw	,
que	Cs	que
vous	Pp	vous
cherchiez	Vvc	chercher
toujours	Rg	toujours
.	Fs	.
Mais	Cc	mais
je	Pp	je
vous	Pp	vous
vois	Vvc	voir
,	Fw	,
Seigneur	Nc	seigneur
,	Fw	,
et	Cc	et
si	Cs	si
j'	Pp	je
ose	Vvc	oser
le	Pp	il
dire	Vvn	dire
,	Fw	,
Un	Vvc	un
destin	Nc	destin
plus	Rg	plus
heureux	Ag	heureux
vous	Pp	vous
conduit	Vvc	conduire
en	S	en
Épire	Nc	épire
.	Fs	.
Le	Da	le
pompeux	Ag	pompeux
appareil	Nc	appareil
qui	Pr	qui
suit	Vvc	suivre
ici	Rg	ici
vos	Ds	votre
pas	Nc	pas
,	Fw	,
N'	Vvc	n'
est	Vuc	être
point	Rg	point
d'	S	de
un	Dn	un
malheureux	Ag	malheureux
qui	Pr	qui
cherche	Vvc	chercher
le	Da	le
trépas	Nc	trépas
.	Fs	.
Hélas	Vvc	hélas
!	Fs	!
Qui	Pt	qui
peut	Vvc	pouvoir
savoir	Vvn	savoir
le	Da	le
destin	Nc	destin
qui	Pr	qui
m'	Pp	je
amène	Vvc	amener
?	Fs	?
L'	Da	le
amour	Nc	amour
me	Pp	je
fait	Vvc	faire
ici	Rg	ici
chercher	Vvn	chercher
une	Dn	un
inhumaine	Ag	inhumain
.	Fs	.
Mais	Cc	mais
qui	Pr	qui
sait	Vvc	savoir
ce	Pd	ce
qu'	Pr	que
il	Pp	il
doit	Vvc	devoir
ordonner	Vvn	ordonner
de	S	de
mon	Ds	mon
sort	Nc	sort
,	Fw	,
Et	Vvc	et
si	Cs	si
je	Pp	je
viens	Vvc	venir
chercher	Vvn	chercher
,	Fw	,
ou	Cc	ou
la	Da	le
vie	Nc	vie
,	Fw	,
ou	Cc	ou
la	Da	le
mort	Nc	mort
?	Fs	?
Quoi	Pt	quoi
!	Fs	!
Votre	Ds	votre
âme	Nc	âme
à	S	à
l'	Da	le
amour	Nc	amour
en	S	en
esclave	Nc	esclave
asservie	Ge	asservir
,	Fw	,
Se	Vvc	se
repose	Vvc	reposer
sur	S	sur
lui	Pp	il
du	S+Da	de+le
soin	Nc	soin
de	S	de
votre	Ds	votre
vie	Nc	vie
?	Fs	?
Par	S	par
quel	Dt	quel
charme	Nc	charme
,	Fw	,
oubliant	Ga	oublier
tant	Rg	tant
de	S	de
tourments	Nc	tourment
soufferts	Ge	souffrir
,	Fw	,
Pouvez	Vvc	pouvoir
-vous	Nc	-vous
consentir	Vvn	consentir
à	S	à
rentrer	Vvn	rentrer
dans	S	dans
ses	Ds	son
fers	Nc	fer|fers
?	Fs	?
Pensez	Vvc	penser
-vous	Nc	-vous
qu'	Pr	que
Hermione	Vvc	hermione
,	Fw	,
à	S	à
Sparte	Nc	sparte
inexorable	Ag	inexorable
,	Fw	,
Vous	Nc	vous
prépare	Vvc	préparer
en	S	en
Épire	Nc	épire
un	Dn	un
sort	Nc	sort
plus	Rg	plus
favorable	Ag	favorable
?	Fs	?
Honteux	Ag	honteux
d'	S	de
avoir	Vun	avoir
poussé	Ge	pousser
tant	Rg	tant
de	S	de
voeux	Nc	vœu
superflus	Ag	superflu
,	Fw	,
Vous	Nc	vous
l'	Pp	il
abhorriez	Vvc	abhorrer
.	Fs	.
Enfin	Rg	enfin
,	Fw	,
vous	Pp	vous
ne	Rp	ne
m'	Pp	je
en	Pp	en
parliez	Vvc	parler
plus	Rg	plus
.	Fs	.
Vous	Pp	vous
me	Pp	je
trompiez	Vvc	tromper
,	Fw	,
Seigneur	Nc	seigneur
.	Fs	.
Je	Pp	je
