Quoi	Pt	quoi
!	Fs	!
vous	Pp	vous
,	Fw	,
contre	S	contre
mon	Ds	mon
fils	Nc	fil|fils
!	Fs	!
vous	Pp	vous
,	Fw	,
son	Ds	son
indigne	Ag	indigne
frère	Nc	frère
!	Fs	!
Vous	Pp	vous
insolent	Vvc	insoler
!	Fs	!
Madame	Nc	madame
,	Fw	,
un	Dn	un
peu	Rg	peu
moins	Rg	moins
de	S	de
colère	Nc	colère
!	Fs	!
Et	Cc	et
me	Pp	je
comprendre	Vvn	comprendre
,	Fw	,
encor	Nc	encor
,	Fw	,
dans	S	dans
votre	Ds	votre
différend	Nc	différend
!	Fs	!
Je	Pp	je
vous	Pp	vous
honore	Vvc	honorer
en	Pp	en
Reine	Vvc	reine
,	Fw	,
et	Cc	et
l'	Da	le
estime	Nc	estime
en	S	en
parent	Nc	parent
.	Fs	.
Mais	Cc	mais
,	Fw	,
s'	Pp	se
il	Pp	il
forge	Vvc	forger
un	Dn	un
fantôme	Nc	fantôme
,	Fw	,
afin	S	afin
de	S	de
le	Pp	il
combattre	Vvn	combattre
...	Fs	...
Je	Vvc	je
saurai	Vvc	savoir
bien	Rg	bien
,	Fw	,
perfide	Ag	perfide
.	Fs	.
Ha	Rg	ha
!	Fs	!
Cruelle	Ag	cruel
marâtre	Nc	marâtre
!	Fs	!
À	Nc	à
qui	Pr	qui
lui	Pp	il
déplaira	Vvc	déplaire
,	Fw	,
faire	Vvn	faire
perdre	Vvn	perdre
le	Da	le
jour	Nc	jour
,	Fw	,
Et	Vvc	et
contre	S	contre
qui	Pr	qui
le	Pp	il
hait	Vvc	haïr
,	Fw	,
lui	Pp	il
montrer	Vvn	montrer
mon	Ds	mon
amour	Nc	amour
.	Fs	.
Madame	Nc	madame
,	Fw	,
quand	Cs	quand
le	Da	le
sang	Nc	sang
,	Fw	,
qui	Pr	qui
me	Pp	je
le	Da	le
rang	Nc	rang
si	Rg	si
proche	Ag	proche
,	Fw	,
Ne	Vvc	ne
me	Pp	je
laverait	Vvc	laver
pas	Rg	pas
,	Fw	,
d'	S	de
un	Dn	un
semblable	Ag	semblable
reproche	Nc	reproche
;	Fw	;
Pour	Nc	pour
savoir	Vvn	savoir
à	S	à
quel	Dt	quel
point	Nc	point
,	Fw	,
je	Pp	je
le	Pp	il
dois	Vvc	devoir
respecter	Vvn	respecter
,	Fw	,
Il	Vvc	il
suffit	Vvc	suffire
,	Fw	,
de	S	de
l'	Da	le
amour	Nc	amour
,	Fw	,
qu'	Cs	que
on	Pp	on
vous	Pp	vous
lui	Pp	il
voit	Vvc	voir
porter	Vvn	porter
.	Fs	.
Il	Pp	il
suffit	Vvc	suffire
,	Fw	,
qu'	Cs	que
en	S	en
ce	Dd	ce
fils	Nc	fil|fils
,	Fw	,
nous	Pp	nous
voyons	Vvc	voir
votre	Ds	votre
image	Nc	image
,	Fw	,
Et	Vvc	et
que	Cs	que
nous	Pp	nous
ne	Rp	ne
pouvons	Vvc	pouvoir
,	Fw	,
lui	Pp	il
rendre	Vvn	rendre
assez	Rg	assez
d'	S	de
hommage	Nc	hommage
:	Fw	:
De	S	de
ces	Dd	ce
raisons	Nc	raison
aussi	Rg	aussi
,	Fw	,
me	Pp	je
faisant	Ga	faire
une	Dn	un
loi	Nc	loi
,	Fw	,
J'	Vvc	j'
ai	Vuc	avoir
pour	S	pour
lui	Pp	il
le	Da	le
respect	Nc	respect
,	Fw	,
qu'	Cs	que
il	Pp	il
dut	Vvc	devoir
avoir	Vun	avoir
pour	S	pour
moi	Pp	je
.	Fs	.
Lui	Pp	il
,	Fw	,
pour	S	pour
vous	Pp	vous
!	Fs	!
Oui	Rg	oui
,	Fw	,
pour	S	pour
moi	Pp	je
!	Fs	!
L'	Da	le
humeur	Nc	humeur
,	Fw	,
où	Pr	où
je	Pp	je
me	Pp	je
trouve	Vvc	trouver
,	Fw	,
Fait	Vvc	faire
de	S	de
ma	Ds	mon
patience	Nc	patience
,	Fw	,
une	Dn	un
trop	Rg	trop
rude	Ag	rude
épreuve	Nc	épreuve
;	Fw	;
Et	Vvc	et
votre	Ds	votre
Majesté	Nc	majesté
,	Fw	,
parlant	Ga	parler
sans	S	sans
passion	Nc	passion
,	Fw	,
Louerait	Vvc	louer|lover
