Deviendrez	Vvc	devenir
-vous	Ag	-vous
sujet	Nc	sujet
dans	S	dans
vos	Ds	votre
propres	Ag	propre
États	Nc	états
.	Fs	.
J'	Pp	je
abandonne	Vvc	abandonner
le	Da	le
trône	Nc	trône
,	Fw	,
et	Cc	et
ne	Rp	ne
m'	Pp	je
en	Pp	en
prive	Vvc	priver
pas	Rg	pas
Mes	Ag	mes
fils	Nc	fil|fils
y	Pp	y
régneront	Vvc	régner
,	Fw	,
et	Cc	et
puis	Vvc	pouvoir
à	S	à
trop	Rg	trop
attendre	Vvn	attendre
Je	Vvc	je
pourrais	Vvc	pouvoir
en	S	en
tomber	Vvn	tomber
,	Fw	,
j'	Pp	je
aime	Vvc	aimer
mieux	Rg	mieux
en	S	en
descendre	Vvn	descendre
Et	Vvc	et
faire	Vvn	faire
(	Fw	(
en	S	en
le	Pp	il
quittant	Ga	quitter
par	S	par
générosité	Nc	générosité
)	Fw	)
Ce	Vvc	ce
qu'	Cs	que
on	Pp	on
ne	Rp	ne
fit	Vvc	faire
jamais	Rg	jamais
que	Cs	que
par	S	par
nécessité	Nc	nécessité
.	Fs	.
De	S	de
mou	Ag	mou
affection	Nc	affection
,	Fw	,
je	Pp	je
veux	Vvc	vouloir
qu'	Cs	que
il	Pp	il
soit	Vuc	être
un	Dn	un
gage	Nc	gage
,	Fw	,
Qu'	Vvc	qu'
il	Pp	il
leur	Pp	leur
soit	Vuc	être
un	Dn	un
bienfait	Nc	bienfait
,	Fw	,
plutôt	Rg	plutôt
qu'	Cs	que
un	Dn	un
héritage	Nc	héritage
,	Fw	,
Qu'	Vvc	qu'
ils	Pp	ils
m'	Pp	je
en	Pp	en
soient	Vuc	être
obligés	Ge	obliger
,	Fw	,
plus	Rg	plus
qu'	Cs	que
à	S	à
mon	Ds	mon
triste	Ag	triste
sort	Nc	sort
.	Fs	.
Et	Cc	et
qu'	Cs	que
il	Pp	il
leur	Pp	leur
soit	Vuc	être
aisé	Ag	aisé
de	S	de
pleurer	Vvn	pleurer
à	S	à
ma	Ds	mon
mort	Nc	mort
.	Fs	.
Ce	Pd	ce
sont	Vuc	être
faibles	Ag	faible
motifs	Nc	motif
,	Fw	,
pour	S	pour
quitter	Vvn	quitter
un	Dn	un
Empire	Nc	empire
.	Fs	.
J'	Pp	je
en	Pp	en
ai	Vuc	avoir
pour	S	pour
mon	Ds	mon
repos	Nc	repos
de	S	de
plus	Rg	plus
puissants	Ag	puissant
à	S	à
dire	Vvn	dire
,	Fw	,
Et	Vvc	et
mes	Ds	mon
fils	Nc	fil|fils
qui	Pr	qui
tous	Di	tout
deux	Nc	deux
s'	Pp	se
y	Pp	y
veulent	Vvc	vouloir
élever	Vvn	élever
>	Vvc	>
M'	Vvc	m'
en	Pp	en
imposent	Vvc	imposer
la	Da	le
loi	Nc	loi
si	Cs	si
je	Pp	je
les	Pp	ils
veux	Vvc	vouloir
sauver	Vvn	sauver
.	Fs	.
Tu	Pp	tu
sais	Vvc	savoir
leur	Ds	leur
différend	Nc	différend
,	Fw	,
et	Cc	et
ce	Pd	ce
qui	Pr	qui
le	Pp	il
fit	Vvc	faire
naître	Vvn	naître
.	Fs	.
Étant	Ga	étant
connu	Ge	connaître
de	S	de
tous	Pi	tout
,	Fw	,
je	Pp	je
le	Pp	il
puis	Vvc	pouvoir
bien	Rg	bien
connaître	Vvn	connaître
,	Fw	,
Quand	Nc	quand
vous	Pp	vous
étiez	Vuc	être
sujet	Nc	sujet
,	Fw	,
Pharasmane	Vvc	pharasmane
naquit	Vvc	naître
,	Fw	,
Arsace	Nc	arsace
vint	Vvc	venir
après	S	après
avec	S	avec
plus	Rg	plus
de	S	de
bruit	Nc	bruit
;	Fw	;
Car	Nc	car
la	Da	le
mort	Nc	mort
du	S+Da	de+le
feu	Nc	feu
Roi	Vvc	roi
jointe	Ge	joindre
à	S	à
votre	Ds	votre
naissance	Nc	naissance
,	Fw	,
Vous	Nc	vous
avait	Vuc	avoir
mis	Ge	mettre
en	S	en
main	Nc	main
,	Fw	,
la	Da	le
suprême	Ag	suprême
puissance	Nc	puissance
;	Fw	;
Leur	Vvc	leur
sang	Nc	sang
est	Vuc	être
donc	Rg	donc
pareil	Nc	pareil
,	Fw	,
et	Cc	et
leur	Ds	leur
rang	Nc	rang
inégal	Ag	inégal
,	Fw	,
L'	Vvc	l'
un	Pi	un
est	Vuc	être
fils	Nc	fil|fils
