Sage	Ag	sage
dispensateur	Nc	dispensateur
du	S+Da	de+le
bon	Ag	bon
et	Cc	et
mauvais	Ag	mauvais
sort	Nc	sort
,	Fw	,
Qui	Vvc	qui
tiens	Vvc	tenir
entre	S	entre
tes	Ds	ton
mains	Nc	main
et	Cc	et
ma	Ds	mon
vie	Nc	vie
et	Cc	et
ma	Ds	mon
mort	Nc	mort
;	Fw	;
Souverain	Ag	souverain
Protecteur	Nc	protecteur
des	S+Da	de+le|de+les
âmes	Nc	âme
affligées	Ge	affliger
,	Fw	,
Toi	Vvc	taire
,	Fw	,
par	S	par
qui	Pr	qui
dans	S	dans
leurs	Ds	leur
maux	Nc	mal
elles	Pp	ils
sont	Vuc	être
soulagées	Ge	soulager
,	Fw	,
Et	Vvc	et
qui	Pr	qui
maître	Nc	maître
absolu	Ag	absolu
de	S	de
notre	Ds	notre
liberté	Nc	liberté
Disposes	Vvc	disposer
des	Dn	un
mortels	Nc	mortel
suivant	Ga	suivre
ta	Ds	ton
volonté	Nc	volonté
:	Fw	:
As	Vuc	avoir
-tu	Ge	-tu
donc	Rg	donc
résolu	Ge	résoudre
,	Fw	,
pour	S	pour
croître	Vvn	croître
ma	Ds	mon
misère	Nc	misère
,	Fw	,
Que	Vvc	que
je	Pp	je
survive	Vvc	survivre
encore	Rg	encore
à	S	à
la	Da	le
mort	Nc	mort
de	S	de
mon	Ds	mon
père	Nc	père
,	Fw	,
Contrainte	Vvc	contrainte
de	S	de
baiser	Vvn	baiser
la	Da	le
main	Nc	main
de	S	de
son	Ds	son
bourreau	Nc	bourreau
,	Fw	,
Et	Vvc	et
de	S	de
bénir	Vvn	bénir
le	Da	le
coup	Nc	coup
qui	Pr	qui
le	Pp	il
mit	Vvc	mettre
au	S+Da	à+le
tombeau	Nc	tombeau
?	Fs	?
Ah	I	ah
!	Fs	!
Grand	Ag	grand
Dieu	Nc	dieu
,	Fw	,
fais	Vvc	faire
plutôt	Rg	plutôt
que	Cs	que
je	Pp	je
quitte	Vvc	quitter
une	Dn	un
vie	Nc	vie
Qui	Ag	qui
fomente	Vvc	fomenter
les	Da	le
maux	Nc	mal
dont	Pr	dont
je	Pp	je
suis	Vuc	être
poursuivie	Ge	poursuivre
,	Fw	,
Et	Vvc	et
que	Cs	que
pour	S	pour
satisfaire	Vvn	satisfaire
à	S	à
ton	Ds	ton
juste	Ag	juste
courroux	Nc	courroux
Je	Ag	je
paye	Vvc	payer
le	Da	le
forfait	Nc	forfait
que	Pr	que
commit	Vvc	commettre
mon	Ds	mon
époux	Nc	époux
:	Fw	:
Ma	Ds	mon
douleur	Nc	douleur
par	S	par
mon	Ds	mon
mal	Nc	mal
sera	Vuc	être
trop	Rg	trop
soulagée	Ge	soulager
,	Fw	,
J'	Vvc	j'
outragerai	Vvc	outrager
celui	Pd	celui
qui	Pr	qui
m'	Pp	je
avait	Vuc	avoir
outragée	Ge	outrager
,	Fw	,
Et	Vvc	et
par	S	par
le	Da	le
doux	Ag	doux
effet	Nc	effet
d'	S	de
un	Dn	un
dessein	Nc	dessein
généreux	Ag	généreux
,	Fw	,
Si	Vvc	si
je	Pp	je
cause	Vvc	causer
une	Dn	un
mort	Nc	mort
,	Fw	,
j'	Pp	je
en	Pp	en
saurai	Vvc	savoir
venger	Vvn	venger
deux	Nc	deux
;	Fw	;
Bajazet	Nc	bajazet
qui	Pr	qui
verra	Vvc	voir
l'	Da	le
excès	Nc	excès
de	S	de
ma	Ds	mon
misère	Nc	misère
,	Fw	,
Par	Nc	par
ses	Ds	son
propres	Ag	propre
douleurs	Nc	douleur
me	Pp	je
saura	Vvc	savoir
satisfaire	Vvn	satisfaire
,	Fw	,
Ainsi	Vvc	ainsi
par	S	par
le	Da	le
regret	Nc	regret
qu'	Pr	que
en	Pp	en
concevra	Vvc	concevoir
l'	Da	le
ingrat	Ag	ingrat
,	Fw	,
Je	Vvc	je
vengerai	Vvc	venger
la	Da	le
mienne	Ps	mien
,	Fw	,
et	Cc	et
celle	Pd	celui
d'	S	de
Achomat	Nc	achomat
:	Fw	:
Mais	Cc	mais
,	Fw	,
ô	I	oh
lâche	Ag	lâche
dessein	Nc	dessein
qui	Pr	qui
trouble	Vvc	troubler
ma	Ds	mon
pensée	Nc	pensée
!	Fs	!
Trop	Rg	trop
indigne	Ag	indigne
projet	Nc	projet
d'	S	de
une	Dn	un
Reine	Nc	reine|roi
offensée	Ge	offenser
,	Fw	,
Indigne	Vvc	indigner
d'	S	de
une	Dn	un
fille	Nc	fille
et	Cc	et
d'	S	de
un	Dn	un
coeur	Nc	cœur
irrité	Ge	irriter
,	Fw	,
Et	Vvc	et
qui	Pr	qui
me	Pp	je
ferait	Vvc	faire|ferrer
rougir	Vvn	rougir
de	S	de
l'	Pp	il
avoir	Vun	avoir
médité	Ge	méditer
;	Fw	;
Perdrai	Vvc	perdre
-je	Vvn	-je
le	Da	le
désir	Nc	désir
d'	S	de
une	Dn	un
juste	Ag	juste
vengeance	Nc	vengeance
?	Fs	?
Que	Pt	que
demande	Vvc	demander
Achomat	Vvc	achomat
de	S	de
mon	Ds	mon
obéissance	Nc	obéissance
?	Fs	?
Serai	Vuc	être
-je	Ge	-je
donc	Rg	donc
ingrate	Ag	ingrat
à	S	à
qui	Pr	qui
je	Pp	je
dois	Vvc	devoir
le	Da	le
jour	Nc	jour
?	Fs	?
Faut-il	Vvc	faut-il
que	Cs	que
mon	Ds	mon
devoir	Nc	devoir
le	Pp	il
cède	Vvc	céder
à	S	à
mon	Ds	mon
amour	Nc	amour
?	Fs	?
Rejetons	Vvc	rejeter
ce	Dd	ce
dessein	Nc	dessein
,	Fw	,
il	Pp	il
n'	Rp	ne
est	Vuc	être
pas	Rg	pas
légitime	Ag	légitime
,	Fw	,
Y	Vvc	y
penser	Vvn	penser
seulement	Rg	seulement
c'	Pd	ce
est	Vuc	être
se	Pp	il
souiller	Vvn	souiller
d'	S	de
un	Dn	un
crime	Nc	crime
,	Fw	,
Faisons	Vvc	faire
plutôt	Rg	plutôt
,	Fw	,
mon	Ds	mon
coeur	Nc	cœur
,	Fw	,
un	Dn	un
complot	Nc	complot
généreux	Ag	généreux
,	Fw	,
Qui	Vvc	qui
sans	S	sans
nous	Pp	nous
attrister	Vvn	attrister
nous	Pp	nous
rende	Vvc	rendre
plus	Rg	plus
heureux	Ag	heureux
,	Fw	,
Punissons	Vvc	punir
Bajazet	Nc	bajazet
,	Fw	,
perdons	Vvc	perdre
un	Dn	un
infidèle	Nc	infidèle
;	Fw	;
Dieu	Nc	dieu
,	Fw	,
que	Pr	que
dis	Vvc	dire
-je	Nc	-je
,	Fw	,
insensée	Ag	insensé
:	Fw	:
Ah	I	ah
!	Fs	!
Pardonne	Vvc	pardonner
à	S	à
mon	Ds	mon
zèle	Nc	zèle
,	Fw	,
Excuse	Vvc	excuser
,	Fw	,
cher	Ag	cher
époux	Nc	époux
,	Fw	,
l'	Da	le
excès	Nc	excès
de	S	de
ma	Ds	mon
douleur	Nc	douleur
,	Fw	,
Il	Vvc	il
est	Vuc	être
trop	Rg	trop
légitime	Ag	légitime
en	S	en
ce	Dd	ce
coup	Nc	coup
de	S	de
malheur	Nc	malheur
,	Fw	,
Ces	Vvc	ces
premiers	Ag	premier
mouvements	Nc	mouvement
sont	Vuc	être
hors	S	hors
de	S	de
ma	Ds	mon
puissance	Nc	puissance
,	Fw	,
Ne	Vvc	ne
t'	Pp	tu
irrite	Vvc	irriter
donc	Rg	donc
pas	Rg	pas
de	S	de
mon	Ds	mon
peu	Rg	peu
de	S	de
constance	Nc	constance
,	Fw	,
Si	Vvc	si
je	Pp	je
prends	Vvc	prendre
des	Dn	un
desseins	Nc	dessein
contre	S	contre
ta	Ds	ton
liberté	Nc	liberté
,	Fw	,
Mon	Nc	mon
amour	Nc	amour
aussitôt	Rg	aussitôt
dément	Vvc	démentir
ma	Ds	mon
volonté	Nc	volonté
,	Fw	,
Si	Vvc	si
je	Pp	je
fais	Vvc	faire
quelques	Di	quelque
voeux	Nc	vœu
qui	Pr	qui
te	Pp	tu
semblent	Vvc	sembler
contraires	Ag	contraire
,	Fw	,
Hélas	Vvc	hélas
!	Fs	!
J'	Pp	je
en	Pp	en
fais	Vvc	faire
assez	Rg	assez
qui	Pr	qui
te	Pp	tu
sont	Vuc	être
salutaires	Ag	salutaire
;	Fw	;
Et	Vvc	et
pour	S	pour
te	Pp	tu
témoigner	Vvn	témoigner
si	Cs	si
j'	Pp	je
aime	Vvc	aimer
constamment	Rg	constamment
,	Fw	,
Mon	Nc	mon
amour	Nc	amour
te	Pp	tu
suivra	Vvc	suivre
jusques	Nc	jusques
au	S+Da	à+le
monument	Nc	monument
:	Fw	:
Mais	Cc	mais
chérir	Vvn	chérir
un	Dn	un
tyran	Nc	tyran
qui	Pr	qui
causa	Vvc	causer
ma	Ds	mon
disgrâce	Nc	disgrâce
,	Fw	,
Qui	Vvc	qui
me	Pp	je
ravit	Vvc	ravir
mon	Ds	mon
bien	Nc	bien
,	Fw	,
qui	Pr	qui
détruisit	Vvc	détruire
ma	Ds	mon
race	Nc	race
;	Fw	;
J'	Vvc	j'
aimerais	Vvc	aimer
donc	Rg	donc
celui	Pd	celui
qui	Pr	qui
commença	Vvc	commencer
mon	Ds	mon
deuil	Nc	deuil
,	Fw	,
Je	Vvc	je
serais	Vuc	être
en	S	en
ses	Ds	son
bras	Nc	bras
,	Fw	,
et	Cc	et
mon	Ds	mon
père	Nc	père
au	S+Da	à+le
cercueil	Nc	cercueil
:	Fw	:
Non	Rg	non
,	Fw	,
qu'	Cs	que
il	Pp	il
meure	Vvc	murer
,	Fw	,
l'	Da	le
ingrat	Ag	ingrat
,	Fw	,
objet	Nc	objet
de	S	de
ma	Ds	mon
misère	Nc	misère
,	Fw	,
Venge	Vvc	venger
-toi	Vvc	-toi
par	S	par
sa	Ds	son
mort	Nc	mort
de	S	de
celle	Pd	celui
de	S	de
ton	Ds	ton
père	Nc	père
;	Fw	;
Quoi	Vvc	quoi
,	Fw	,
tu	Pp	tu
tardes	Vvc	tarder
encore	Rg	encore
à	S	à
faire	Vvn	faire
ce	Dd	ce
devoir	Nc	devoir
?	Fs	?
Mon	Ds	mon
bras	Nc	bras
,	Fw	,
qui	Pr	qui
te	Pp	tu
retient	Vvc	retenir
?	Fs	?
N'	Rp	ne
as	Vuc	avoir
-tu	Vvc	-tu
pas	Rg	pas
le	Da	le
pouvoir	Nc	pouvoir
De	Vvc	de
faire	Vvn	faire
un	Dn	un
si	Rg	si
beau	Ag	beau
coup	Nc	coup
?	Fs	?
Ah	I	ah
!	Fs	!
Le	Da	le
lâche	Nc	lâche|lâché
qui	Pr	qui
n'	Rp	ne
ose	Vvc	oser
,	Fw	,
L'	Vvc	l'
amour	Nc	amour
selon	S	selon
son	Ds	son
gré	Nc	gré
le	Pp	il
conduis	Vvc	conduire
et	Cc	et
dispose	Vvc	disposer
:	Fw	:
Amour	Nc	amour
,	Fw	,
cruel	Ag	cruel
amour	Nc	amour
,	Fw	,
tyran	Nc	tyran
trop	Rg	trop
absolu	Ag	absolu
,	Fw	,
Permets	Vvc	permettre
-moi	Vvc	-moi
d'	S	de
achever	Vvn	achever
ce	Pd	ce
que	Pr	que
j'	Pp	je
ai	Vuc	avoir
résolu	Ge	résoudre
,	Fw	,
Ne	Vvc	ne
représente	Vvc	représenter
point	Rg	point
à	S	à
mon	Ds	mon
âme	Nc	âme
affligée	Ge	affliger
À	Nc	à
quoi	Pr	quoi
par	S	par
un	Dn	un
hymen	Nc	hymen
elle	Pp	il
s'	Pp	se
est	Vuc	être
engagée	Ge	engager
,	Fw	,
Et	Vvc	et
ne	Rp	ne
me	Pp	je
parle	Vvc	parler
point	Rg	point
pour	S	pour
finir	Vvn	finir
mon	Ds	mon
courroux	Nc	courroux
En	Vvc	en
faveur	Nc	faveur
d'	S	de
un	Dn	un
ingrat	Nc	ingrat
,	Fw	,
et	Cc	et
d'	S	de
un	Dn	un
perfide	Ag	perfide
époux	Nc	époux
:	Fw	:
Amour	Nc	amour
,	Fw	,
si	Cs	si
tu	Pp	tu
le	Pp	il
fais	Vvc	faire
tu	Pp	tu
te	Pp	tu
rends	Vvc	rendre
son	Ds	son
complice	Nc	complice
,	Fw	,
Car	Nc	car
de	S	de
le	Pp	il
protéger	Vvn	protéger
c'	Pd	ce
est	Vuc	être
approuver	Vvn	approuver
son	Ds	son
vice	Nc	vice
;	Fw	;
Laisse	Vvc	laisser
-moi	Vvc	-moi
donc	Rg	donc
agir	Vvn	agir
,	Fw	,
et	Cc	et
permets	Vvc	permettre
justement	Rg	justement
Que	Nc	que
j'	Pp	je
immole	Vvc	immoler
ce	Dd	ce
traître	Nc	traître
à	S	à
mon	Ds	mon
ressentiment	Nc	ressentiment
,	Fw	,
Que	Vvc	que
je	Pp	je
le	Pp	il
sacrifie	Vvc	sacrifier
aux	S+Da	à+les
mânes	Nc	mâne
de	S	de
mon	Ds	mon
père	Nc	père
,	Fw	,
Et	Vvc	et
que	Cs	que
pour	S	pour
satisfaire	Vvn	satisfaire
à	S	à
ma	Ds	mon
juste	Ag	juste
colère	Nc	colère
,	Fw	,
Je	Vvc	je
perde	Vvc	perdre
l'	Da	le
