CARDENIE	Nc	cardenie
,	Fw	,
Don	Nc	don
LOPE	Vvc	lope
,	Fw	,
DOROTEE	Ge	dorotee
,	Fw	,
BARBERO	Nc	barbero
,	Fw	,
SANCHO	Nc	sancho
PANÇA	Vvc	pança
.	Fs	.
Ce	Pd	ce
sont	Vuc	être
là	Rg	là
vos	Ds	votre
amours	Nc	amour
et	Cc	et
vos	Ds	votre
contentements	Nc	contentement
,	Fw	,
Contez	Vvc	conter
-moi	Vvc	-moi
vos	Ds	votre
dédains	Nc	dédain
,	Fw	,
montrez	Vvc	montrer
-moi	Vvc	-moi
vos	Ds	votre
tourments	Nc	tourment
.	Fs	.
Puis	Vvc	pouvoir
qu'	Cs	que
il	Pp	il
faut	Vvc	faillir|falloir
achever	Vvn	achever
un	Dn	un
discours	Nc	discours
si	Rg	si
funeste	Ag	funeste
,	Fw	,
Que	Vvc	que
je	Pp	je
vous	Pp	vous
l'	Pp	il
ai	Vuc	avoir
promis	Ge	promettre
,	Fw	,
écoutez	Vvc	écouter
ce	Pd	ce
qui	Pr	qui
reste	Vvc	rester
.	Fs	.
Malgré	Vvc	malgré
notre	Ds	notre
amitié	Nc	amitié
l'	Da	le
intérêt	Nc	intérêt
l'	Pp	il
emporta	Vvc	emporter
,	Fw	,
Don	Nc	don
Fernande	Vvc	fernande
s'	Pp	se
offrit	Vvc	offrir
,	Fw	,
le	Da	le
père	Nc	père
l'	Pp	il
accepta	Vvc	accepter
;	Fw	;
Lucinde	Vvc	lucinde
par	S	par
respect	Nc	respect
,	Fw	,
ou	Cc	ou
faute	Nc	faute
de	S	de
faute	Nc	faute
de	S	de
courage	Nc	courage
,	Fw	,
À	Nc	à
la	Da	le
fin	Nc	fin
approuva	Vvc	approuver
ce	Dd	ce
triste	Ag	triste
mariage	Nc	mariage
.	Fs	.
Le	Da	le
jour	Nc	jour
en	S	en
fin	Nc	fin
marqué	Ge	marquer
,	Fw	,
le	Da	le
temps	Nc	temps
haste	Vvc	hâter
ses	Ds	son
pas	Nc	pas
,	Fw	,
Ce	Vvc	ce
jour	Nc	jour
est	Vuc	être
arrivé	Ge	arriver
,	Fw	,
l'	Pp	il
on	Pp	on
conclut	Vvc	conclure
mon	Ds	mon
trépas	Nc	trépas
,	Fw	,
Et	Vvc	et
ma	Ds	mon
Lucinde	Nc	lucinde
même	Ag	même
,	Fw	,
ô	I	oh
dure	Ag	dur
souvenance	Nc	souvenance
!	Fs	!
Par	S	par
un	Dn	un
aveu	Nc	aveu
funeste	Ag	funeste
en	Pp	en
signa	Vvc	signer
l'	Da	le
ordonnance	Nc	ordonnance
:	Fw	:
Je	Pp	je
feus	Nc	feux
présent	Ag	présent
à	S	à
tout	Pi	tout
,	Fw	,
mon	Ds	mon
extrême	Ag	extrême
douleur	Nc	douleur
Voulut	Vvc	vouloir
qu'	Cs	que
en	S	en
le	Pp	il
sentant	Ga	sentir
je	Pp	je
visse	Vvc	visser|voir
mon	Ds	mon
malheur	Nc	malheur
;	Fw	;
Dans	Vvc	dans
le	Da	le
ressentiment	Nc	ressentiment
d'	S	de
une	Dn	un
perte	Nc	perte
si	Rg	si
grande	Ag	grand
J'	Nc	j'
allais	Vvc	aller
l'	Da	le
épée	Nc	épée
au	S+Da	à+le
poing	Nc	poing
me	Pp	je
jeter	Vvn	jeter
