Trassidule	Vvc	trassidule
il	Pp	il
est	Vuc	être
vrai	Ag	vrai
,	Fw	,
tes	Ds	ton
bras	Nc	bras
ont	Vuc	avoir
raffermi	Ge	raffermir
Mon	Nc	mon
pouvoir	Nc	pouvoir
ébranlé	Ge	ébranler
par	S	par
ce	Dd	ce
grand	Ag	grand
ennemi	Nc	ennemi
!	Fs	!
Ce	Dd	ce
triple	Ag	triple
Gérion	Nc	gérion
qui	Pr	qui
rendait	Vvc	rendre
ma	Ds	mon
puissance	Nc	puissance
,	Fw	,
Dépendante	Ga	dépendante
en	S	en
effet	Nc	effet
,	Fw	,
maîtresse	Nc	maîtresse
en	S	en
apparence	Nc	apparence
;	Fw	;
Doit	Vvc	devoir
reconnaître	Vvn	reconnaître
enfin	Rg	enfin
,	Fw	,
qu'	Cs	que
il	Pp	il
n'	Rp	ne
est	Vuc	être
jamais	Rg	jamais
d'	S	de
orgueil	Nc	orgueil
Qui	Vvc	qui
ne	Rp	ne
puisse	Vvc	pouvoir
échouer	Vvn	échouer
contre	S	contre
un	Dn	un
dernier	Ag	dernier
écueil	Nc	écueil
;	Fw	;
Et	Vvc	et
que	Cs	que
l'	Da	le
ambition	Nc	ambition
des	S+Da	de+le|de+les
plus	Rg	plus
illustres	Ag	illustre
têtes	Nc	tête
,	Fw	,
Ne	Vvc	ne
peut	Vvc	pouvoir
jamais	Rg	jamais
monter	Vvn	monter
au	S+Da	à+le
dessus	Nc	dessus
des	S+Da	de+le|de+les
tempêtes	Nc	tempête
.	Fs	.
Quelque	Di	quelque
élevé	Ge	élever
qu'	Cs	que
on	Pp	on
soit	Vuc	être
nos	Ds	notre
destins	Nc	destin
ennuyeux	Ag	ennuyeux
,	Fw	,
Nous	Vvc	nous
ont	Vuc	avoir
toujours	Rg	toujours
soumis	Ge	soumettre
à	S	à
la	Da	le
hauteur	Nc	hauteur
des	S+Da	de+le|de+les
cieux	Nc	ciel|cieux
;	Fw	;
Et	Vvc	et
quelque	Di	quelque
grand	Ag	grand
dessein	Nc	dessein
que	Pr	que
nous	Pp	nous
puissions	Vvc	pouvoir
résoudre	Vvn	résoudre
Nous	Vvc	nous
demeurons	Vvc	demeurer
toujours	Rg	toujours
au	S+Da	à+le
dessous	Nc	dessou|dessous
de	S	de
la	Da	le
foudre	Nc	foudre
!	Fs	!
Cet	Dd	ce
orgueilleux	Ag	orgueilleux
croyait	Vvc	croire
après	S	après
tant	Rg	tant
de	S	de
combats	Nc	combat
,	Fw	,
Qu'	Vvc	qu'
il	Pp	il
serait	Vuc	être
à	S	à
l'	Da	le
abri	Nc	abri
du	S+Da	de+le
sort	Nc	sort
et	Cc	et
du	S+Da	de+le
trépas	Nc	trépas
!	Fs	!
Et	Cc	et
son	Ds	son
ambition	Nc	ambition
secondant	Ga	seconder
son	Ds	son
caprice	Nc	caprice
,	Fw	,
Ne	Vvc	ne
lui	Pp	il
laissait	Vvc	laisser
rien	Pi	rien
voir	Vvn	voir
si	Rg	si
haut	Ag	haut
que	Cs	que
Pantonice	Nc	pantonice
.	Fs	.
Sur	S	sur
cette	Dd	ce
passion	Nc	passion
qui	Pr	qui
flattant	Ga	flatter
ses	Ds	son
souhaits	Nc	souhait
,	Fw	,
Permettait	Vvc	permettre
à	S	à
son	Ds	son
coeur	Nc	cœur
toute	Di	tout
sorte	Nc	sorte
d'	S	de
excès	Nc	excès
;	Fw	;
Et	Vvc	et
qui	Pr	qui
le	Pp	il
séduisant	Ga	séduire
d'	S	de
une	Dn	un
fausse	Ag	faux
croyance	Nc	croyance
,	Fw	,
L'	Vvc	l'
emportait	Vvc	emporter
tous	Di	tout
les	Da	le
jours	Nc	jour
à	S	à
braver	Vvn	braver
ma	Ds	mon
puissance	Nc	puissance
;	Fw	;
Il	Vvc	il
voulait	Vvc	vouloir
me	Pp	je
borner	Vvn	borner
,	Fw	,
jusqu'	S	jusque
à	S	à
ne	Rp	ne
souffrir	Vvn	souffrir
pas	Rg	pas
Que	Vvc	que
ce	Pd	ce
qu'	Pr	que
ordonnerait	Vvc	ordonner
son	Ds	son
caprice	Nc	caprice
et	Cc	et
ses	Ds	son
bras	Nc	bras
;	Fw	;
Me	Vvc	me
réduisant	Ga	réduire
ainsi	Rg	ainsi
moins	Rg	moins
en	S	en
vassal	Nc	vassal
qu'	Cs	que
en	S	en
maître	Nc	maître
,	Fw	,
De	Vvc	de
n'	Rp	ne
avoir	Vun	avoir
de	S	de
cr2dit	Vvc	cr2dit
que	Cs	que
pour	S	pour
le	Pp	il
lui	Pp	il
soumettre	Vvn	soumettre
.	Fs	.
Ce	Dd	ce
pouvoir	Nc	pouvoir
insolent	Ag	insolent
qu'	Pr	que
il	Pp	il
usurpait	Vvc	usurper
sur	S	sur
moi	Pp	je
,	Fw	,
Jusqu'	Vvc	jusqu'
à	S	à
me	Pp	je
maîtriser	Vvn	maîtriser
et	Cc	et
me	Pp	je
donner	Vvn	donner
la	Da	le
loi	Nc	loi
,	Fw	,
M'	Vvc	m'
a	Vuc	avoir
fait	Ge	faire
enfin	Rg	enfin
goûter	Vvn	goûter
qu'	Cs	que
il	Pp	il
était	Vuc	être
nécessaire	Ag	nécessaire
,	Fw	,
Que	Vvc	que
ma	Ds	mon
puissance	Nc	puissance
fut	Vuc	être
maîtresse	Nc	maîtresse
ou	Cc	ou
tributaire	Ag	tributaire
;	Fw	;
Et	Vvc	et
que	Cs	que
pour	S	pour
cet	Dd	ce
effet	Nc	effet
il	Pp	il
fallait	Vvc	falloir
hasarder	Vvn	hasarder
,	Fw	,
Le	Vvc	le
coup	Nc	coup
qui	Pr	qui
me	Pp	je
ferait	Vvc	faire|ferrer
servir	Vvn	servir
ou	Cc	ou
commander	Vvn	commander
.	Fs	.
Le	Da	le
succès	Nc	succès
a	Vuc	avoir
fait	Ge	faire
voir	Vvn	voir
en	S	en
perdant	Ga	perdre
l'	Da	le
invincible	Ag	invincible
Qu'	Nc	qu'
il	Pp	il
n'	Rp	ne
est	Vuc	être
point	Rg	point
de	S	de
grandeur	Nc	grandeur
qui	Pr	qui
soit	Vuc	être
inaccessible	Ag	inaccessible
;	Fw	;
Et	Vvc	et
qu'	Cs	que
ayant	Ga	avoir
peu	Rg	peu
monter	Vvn	monter
jusques	Nc	jusques
au	S+Da	à+le
plus	Rg	plus
haut	Ag	haut
lieu	Nc	lieu
,	Fw	,
Pour	Nc	pour
y	Pp	y
faire	Vvn	faire
éclipser	Vvn	éclipser
l'	Da	le
éclat	Nc	éclat
d'	S	de
un	Dn	un
demi-dieu	Nc	demi-dieu
!	Fs	!
Il	Pp	il
faut	Vvc	faillir|falloir
que	Cs	que
tout	Di	tout
pouvoir	Nc	pouvoir
quelque	Rg	quelque
grand	Ag	grand
qu'	Cs	que
il	Pp	il
puisse	Vvc	pouvoir
être	Vun	être
Succombe	Vvc	succomber
désormais	Rg	désormais
et	Cc	et
me	Pp	je
révère	Vvc	révérer
en	S	en
maître	Nc	maître
.	Fs	.
Je	Pp	je
crains	Vvc	craindre
plutôt	Rg	plutôt
,	Fw	,
Seigneur	Nc	seigneur
,	Fw	,
que	Pr	que
Pantonice	Vvc	pantonice
à	S	à
bas	Ag	bas
Ne	Nc	ne
vous	Pp	vous
mette	Vvc	mettre
bientôt	Rg	bientôt
tous	Di	tout
les	Da	le
siens	Ps	sien
sur	S	sur
les	Da	le
bras	Nc	bras
!	Fs	!
Comme	Cs	comme
il	Pp	il
n'	Rp	ne
a	Vuc	avoir
succombé	Ge	succomber
que	Cs	que
sur	S	sur
cette	Dd	ce
croyance	Nc	croyance
,	Fw	,
Qu'	Vvc	qu'
on	Pp	on
n'	Rp	ne
oserait	Vvc	oser
jamais	Rg	jamais
attaquer	Vvn	attaquer
sa	Ds	son
puissance	Nc	puissance
,	Fw	,
Et	Vvc	et
qu'	Cs	que
il	Pp	il
était	Vuc	être
trop	Rg	trop
grand	Ag	grand
pour	S	pour
ployer	Vvn	ployer
sous	S	sous
les	Da	le
coups	Nc	coup
De	Vvc	de
quiconque	Pi	quiconque
en	Pp	en
ferait	Vvc	faire|ferrer
l'	Da	le
objet	Nc	objet
de	S	de
son	Ds	son
courroux	Nc	courroux
;	Fw	;
L'	Vvc	l'
honneur	Nc	honneur
de	S	de
ce	Dd	ce
succès	Nc	succès
n'	Rp	ne
est	Vuc	être
du	Dp	du
qu'	Rg	que
au	S+Da	à+le
peu	Rg	peu
d'	S	de
estime	Nc	estime
,	Fw	,
Qu'	Vvc	qu'
il	Pp	il
faisait	Vvc	faire
du	S+Da	de+le
pouvoir	Nc	pouvoir
dont	Pr	dont
il	Pp	il
est	Vuc	être
la	Da	le
victime	Nc	victime
!	Fs	!
C'	Pd	ce
est	Vuc	être
en	S	en
vous	Pp	vous
dédaignant	Ga	dédaigner
qu'	Cs	que
il	Pp	il
vous	Pp	vous
a	Vuc	avoir
fait	Ge	faire
vainqueur	Nc	vainqueur
,	Fw	,
Comme	Vvc	comme
il	Pp	il
vous	Pp	vous
eut	Vuc	avoir
vaincu	Ge	vaincre
s'	Cs	si
il	Pp	il
eut	Vuc	avoir
eu	Ge	avoir
moins	Rg	moins
de	S	de
coeur	Nc	cœur
.	Fs	.
Ainsi	Rg	ainsi
vous	Pp	vous
ne	Rp	ne
pouvez	Vvc	pouvoir
inscrire	Vvn	inscrire
cette	Dd	ce
gloire	Nc	gloire
,	Fw	,
Qu'	Vvc	qu'
au	S+Da	à+le
mépris	Nc	mépris
qu'	Pr	que
il	Pp	il
a	Vuc	avoir
fait	Ge	faire
de	S	de
gagner	Vvn	gagner
la	Da	le
Victoire	Nc	victoire
;	Fw	;
Et	Vvc	et
l'	Da	le
éclat	Nc	éclat
en	Pp	en
revient	Vvc	revenir
moins	Rg	moins
à	S	à
votre	Ds	votre
vertu	Nc	vertu
,	Fw	,
Qu'	Vvc	qu'
au	S+Da	à+le
dédain	Nc	dédain
qu'	Pr	que
il	Pp	il
faisait	Vvc	faire
d'	S	de
en	Pp	en
être	Vun	être
combattu	Ge	combattre
.	Fs	.
De	S	de
vrai	Ag	vrai
si	Cs	si
son	Ds	son
esprit	Nc	esprit
eût	Vuc	avoir
permis	Ge	permettre
à	S	à
sa	Ds	son
crainte	Nc	crainte
,	Fw	,
De	Vvc	de
donner	Vvn	donner
à	S	à
son	Ds	son
coeur	Nc	cœur
quelque	Di	quelque
sorte	Nc	sorte
d'	S	de
atteinte	Nc	atteinte
,	Fw	,
L'	Vvc	l'
eussiez	Vuc	avoir
vous	Pp	vous
attaqué	Ge	attaquer
s'	Cs	si
il	Pp	il
eut	Vuc	avoir
seulement	Rg	seulement
su	Ge	savoir
,	Fw	,
L'	Vvc	l'
ambitieux	Ag	ambitieux
dessein	Nc	dessein
que	Pr	que
vous	Pp	vous
aviez	Vuc	avoir
conçu	Ge	concevoir
!	Fs	!
Ou	Cc	ou
si	Cs	si
de	S	de
ses	Ds	son
amis	Nc	ami
le	Da	le
conseil	Nc	conseil
politique	Ag	politique
N'	Vvc	n'
eut	Vuc	avoir
trouvé	Ge	trouver
dans	S	dans
son	Ds	son
âme	Nc	âme
un	Dn	un
coeur	Nc	cœur
trop	Rg	trop
héroïque	Ag	héroïque
.	Fs	.
Cette	Dd	ce
réflexion	Nc	réflexion
qu'	Pr	que
il	Pp	il
ne	Rp	ne
nous	Pp	nous
est	Vuc	être
soumis	Ge	soumettre
!	Fs	!
Que	Pt	que
parce	Vvc	parce
qu'	Cs	que
il	Pp	il
n'	Rp	ne
a	Vuc	avoir
peu	Rg	peu
nous	Pp	nous
craindre	Vvn	craindre
en	S	en
ennemis	Nc	ennemi
;	Fw	;
Me	Vvc	me
fait	Ge	faire
appréhender	Vvn	appréhender
que	Cs	que
l'	Da	le
État	Nc	état
d'	S	de
Andrigene	Nc	andrigene
!	Fs	!
Ne	Rp	ne
nous	Pp	nous
fasse	Vvc	faire
pour	S	pour
lui	Pp	il
les	Da	le
objets	Nc	objet
de	S	de
sa	Ds	son
haine	Nc	haine
;	Fw	;
Et	Vvc	et
qu'	Cs	que
en	S	en
nous	Pp	nous
assurant	Ga	assurer
de	S	de
son	Ds	son
plus	Rg	plus
ferme	Ag	ferme
appui	Nc	appui
,	Fw	,
Nous	Vvc	nous
n'	Rp	ne
ayons	Vuc	avoir
ébranlé	Ge	ébranler
tout	Di	tout
le	Da	le
reste	Nc	reste
pour	S	pour
lui	Pp	il
.	Fs	.
Tu	Pp	tu
considères	Vvc	considérer
donc	Rg	donc
ce	Dd	ce
coup	Nc	coup
de	S	de
ma	Ds	mon
poursuite	Nc	poursuite
,	Fw	,
Comme	Vvc	comme
l'	Da	le
heureux	Ag	heureux
effet	Nc	effet
d'	S	de
une	Dn	un
aveugle	Ag	aveugle
conduite	Nc	conduite
,	Fw	,
Souviens	Vvc	souvenir
