Crispe	Vvc	crisper
,	Fw	,
il	Pp	il
n'	Rp	ne
est	Vuc	être
que	Rg	que
trop	Rg	trop
vrai	Ag	vrai
,	Fw	,
la	Da	le
plus	Rg	plus
belle	Ag	beau
couronne	Nc	couronne
N'	Ag	n'
a	Vuc	avoir
que	Rg	que
de	S	de
faux	Ag	faux
brillants	Nc	brillant
dont	Pr	dont
l'	Da	le
éclat	Nc	éclat
l'	Pp	il
environne	Vvc	environner
,	Fw	,
Et	Vvc	et
celui	Pd	celui
dont	Pr	dont
le	Da	le
ciel	Nc	ciel
pour	S	pour
un	Dn	un
sceptre	Nc	sceptre
fait	Ge	faire
choix	Nc	choix
,	Fw	,
Jusqu'	Vvc	jusqu'
à	S	à
ce	Pd	ce
qu'	Pr	que
il	Pp	il
le	Pp	il
porte	Vvc	porter
,	Fw	,
en	Pp	en
ignore	Vvc	ignorer
le	Da	le
poids	Nc	poids
.	Fs	.
Mille	Nc	mille
et	Cc	et
mille	Nc	mille
douceurs	Nc	douceur
y	Pp	y
semblent	Vvc	sembler
attachées	Ge	attacher
,	Fw	,
Qui	Vvc	qui
ne	Rp	ne
sont	Vuc	être
qu'	Rg	que
un	Dn	un
amas	Nc	amas
d'	S	de
amertumes	Nc	amertume
cachées	Ge	cacher
.	Fs	.
Qui	Pt	qui
croit	Vvc	croire|croître
les	Pp	ils
posséder	Vvn	posséder
les	Pp	ils
sent	Vvc	sentir
s'	Pp	se
évanouir	Vvn	évanouir
Et	Vvc	et
la	Da	le
peur	Nc	peur
de	S	de
les	Pp	ils
perdre	Vvn	perdre
empêche	Vvc	empêcher
d'	S	de
en	Pp	en
jouir	Vvn	jouir
;	Fw	;
Surtout	Vvc	surtout
,	Fw	,
qui	Pr	qui
,	Fw	,
comme	Cs	comme
moi	Pp	je
,	Fw	,
d'	S	de
une	Dn	un
obscure	Ag	obscur
naissance	Nc	naissance
Monte	Vvc	monter
par	S	par
la	Da	le
révolte	Nc	révolte|révolté
à	S	à
la	Da	le
toute-puissance	Nc	toute-puissance
,	Fw	,
Qui	Vvc	qui
,	Fw	,
de	S	de
simple	Ag	simple
soldat	Nc	soldat
à	S	à
l'	Da	le
empire	Nc	empire
élevé	Ge	élever
,	Fw	,
Ne	Vvc	ne
l'	Pp	il
a	Vuc	avoir
que	Rg	que
par	S	par
le	Da	le
crime	Nc	crime
acquis	Nc	acquis|acquit
et	Cc	et
conservé	Ge	conserver
;	Fw	;
Autant	Ga	autant
que	Cs	que
sa	Ds	son
fureur	Nc	fureur
s'	Pp	se
est	Vuc	être
immolé	Ge	immoler
de	S	de
têtes	Nc	tête
,	Fw	,
Autant	Ga	autant
dessus	S	dessus
la	Da	le
sienne	Ps	sien
il	Pp	il
croit	Vvc	croire|croître
voir	Vvn	voir
de	S	de
tempêtes	Nc	tempête
,	Fw	,
Et	Vvc	et
comme	Cs	comme
il	Pp	il
n'	Rp	ne
a	Vuc	avoir
semé	Ge	semer
qu'	Pr	que
épouvante	Vvc	épouvanter
et	Cc	et
qu'	Cs	que
horreur	Nc	horreur
,	Fw	,
Il	Vvc	il
n'	Rp	ne
en	Pp	en
recueille	Vvc	recueillir
enfin	Rg	enfin
que	Rg	que
trouble	Ag	trouble
et	Cc	et
que	Cs	que
terreur	Nc	terreur
J'	Vvc	j'
en	Pp	en
ai	Vuc	avoir
semé	Ge	semer
beaucoup	Rg	beaucoup
,	Fw	,
et	Cc	et
depuis	S	depuis
quatre	Nc	quatre
lustres	Vvc	lustrer
Mon	Nc	mon
trône	Nc	trône
n'	Rp	ne
est	Vuc	être
fondé	Ge	fonder
que	Cs	que
sur	S	sur
des	Dn	un
morts	Nc	mort
illustres	Ag	illustre
,	Fw	,
Et	Vvc	et
j'	Pp	je
ai	Vuc	avoir
mis	Ge	mettre
au	S+Da	à+le
tombeau	Nc	tombeau
,	Fw	,
pour	S	pour
régner	Vvn	régner
sans	S	sans
effroi	Nc	effroi
,	Fw	,
Tout	Vvc	tout
ce	Pd	ce
que	Pr	que
j'	Pp	je
en	Pp	en
ai	Vuc	avoir
vu	Ge	voir
de	S	de
plus	Rg	plus
digne	Ag	digne
que	Cs	que
moi	Pp	je
.	Fs	.
Mais	Cc	mais
le	Da	le
sang	Nc	sang
répandu	Ge	répandre
de	S	de
l'	Da	le
empereur	Nc	empereur
Maurice	Ag	maurice
,	Fw	,
Ses	Vvc	ses
cinq	Nc	cinq
fils	Nc	fil|fils
,	Fw	,
à	S	à
ses	Ds	son
yeux	Nc	œil
envoyés	Ge	envoyer
au	S+Da	à+le
supplice	Nc	supplice
,	Fw	,
En	Vvc	en
vain	Ag	vain
en	Pp	en
ont	Vuc	avoir
été	Ge	être
les	Da	le
premiers	Ag	premier
fondements	Nc	fondement
,	Fw	,
Si	Vvc	si
pour	S	pour
m'	Pp	je
ôter	Vvn	ôter
ce	Dd	ce
trône	Nc	trône
ils	Pp	ils
servent	Vvc	servir
d'	S	de
instruments	Nc	instrument
:	Fw	:
On	Pp	on
en	Pp	en
fait	Vvc	faire
revivre	Vvn	revivre
un	Dn	un
au	S+Da	à+le
bout	Nc	bout
de	S	de
vingt	Nc	vingt
années	Nc	année
;	Fw	;
Byzance	Nc	byzance
ouvre	Vvc	ouvrer|ouvrir
,	Fw	,
dis	Vvc	dire
-tu	Vvn	-tu
,	Fw	,
l'	Da	le
oreille	Nc	oreille
à	S	à
