Quoi	Pt	quoi
,	Fw	,
S'	Vvc	s'
associa	Vvc	associer
ma	Ds	mon
mère	Nc	mère
à	S	à
l'	Da	le
Empire	Nc	empire
du	S+Da	de+le
monde	Nc	monde
?	Fs	?
Depuis	S	depuis
,	Fw	,
Rome	Vvc	rome
souffrit	Vvc	souffrir
,	Fw	,
et	Cc	et
ne	Rp	ne
réprouva	Vvc	réprouver
pas	Rg	pas
Qu'	Nc	qu'
il	Pp	il
commit	Vvc	commettre
un	Dn	un
Alcide	Nc	alcide
,	Fw	,
au	S+Da	à+le
fardeau	Nc	fardeau
d'	S	de
un	Dn	un
Atlas	Nc	atlas
,	Fw	,
Qu'	Vvc	qu'
on	Pp	on
vit	Vvc	vivre|voir
sur	S	sur
l'	Da	le
Univers	Nc	univers
deux	Nc	deux
têtes	Nc	tête
souveraines	Ag	souverain
,	Fw	,
Et	Vvc	et
que	Cs	que
Maximian	Vvc	maximian
en	Pp	en
partagea	Vvc	partager
les	Da	le
rênes	Nc	rêne
:	Fw	:
Mais	Cc	mais
pourquoi	Rt	pourquoi
pour	S	pour
un	Dn	un
seul	Ag	seul
tant	Rg	tant
de	S	de
maîtres	Nc	maître
divers	Ag	divers
,	Fw	,
Et	Vvc	et
pourquoi	Rt	pourquoi
quatre	Nc	quatre
chefs	Nc	chef
au	S+Da	à+le
corps	Nc	corps
de	S	de
l'	Da	le
univers	Nc	univers
?	Fs	?
Le	Da	le
choix	Nc	choix
de	S	de
Maximin	Nc	maximin
,	Fw	,
et	Cc	et
celui	Pd	celui
de	S	de
Constance	Nc	constance
,	Fw	,
Étaient	Nc	étaient
-ils	Vvc	-ils
à	S	à
l'	Da	le
État	Nc	état
de	S	de
si	Rg	si
grande	Ag	grand
importance	Nc	importance
,	Fw	,
Qu'	Vvc	qu'
il	Pp	il
en	Pp	en
dut	Vvc	devoir
recevoir	Vvn	recevoir
beaucoup	Rg	beaucoup
de	S	de
fermeté	Nc	fermeté
,	Fw	,
Et	Vvc	et
ne	Rp	ne
put	Vvc	pouvoir
subsister	Vvn	subsister
sans	S	sans
leur	Ds	leur
autorité	Nc	autorité
?	Fs	?
Tous	Di	tout
deux	Nc	deux
différemment	Rg	différemment
,	Fw	,
altèrent	Vvc	altérer
sa	Ds	son
mémoire	Nc	mémoire
,	Fw	,
L'	Vvc	l'
un	Pi	un
par	S	par
sa	Ds	son
nonchalance	Nc	nonchalance
,	Fw	,
et	Cc	et
l'	Da	le
autre	Pi	autre
par	S	par
sa	Ds	son
gloire	Nc	gloire
;	Fw	;
Maximin	Nc	maximin
,	Fw	,
achevant	Ga	achever
tant	Rg	tant
de	S	de
gestes	Nc	geste
guerriers	Ag	guerrier
,	Fw	,
Semble	Vvc	sembler
,	Fw	,
au	S+Da	à+le
front	Nc	front
de	S	de
mon	Ds	mon
père	Nc	père
,	Fw	,
en	S	en
voler	Vvn	voler
les	Da	le
lauriers	Nc	laurier
;	Fw	;
Et	Vvc	et
Constance	Nc	constance
souffrant	Ga	souffrir
qu'	Cs	que
un	Dn	un
ennemi	Nc	ennemi
l'	Pp	il
affronte	Vvc	affronter
,	Fw	,
Dessus	Vvc	dessus
son	Ds	son
même	Ag	même
front	Nc	front
en	Pp	en
imprime	Vvc	imprimer
la	Da	le
honte	Nc	honte
;	Fw	;
Ainsi	Vvc	ainsi
,	Fw	,
ni	Cc	ni
dans	S	dans
son	Ds	son
bon	Ag	bon
,	Fw	,
ni	Cc	ni
dans	S	dans
son	Ds	son
mauvais	Ag	mauvais
choix	Nc	choix
,	Fw	,
D'	Nc	d'
un	Dn	un
conseil	Nc	conseil
raisonnable	Ag	raisonnable
,	Fw	,
il	Pp	il
n'	Rp	ne
a	Vuc	avoir
suivi	Ge	suivre
les	Da	le
lois	Nc	loi
;	Fw	;
Et	Vvc	et
déterminant	Ga	déterminer
tout	Pi	tout
,	Fw	,
au	S+Da	à+le
gré	Nc	gré
de	S	de
son	Ds	son
caprice	Nc	caprice
,	Fw	,
N'	Vvc	n'
en	Pp	en
prévoit	Vvc	prévoir
le	Da	le
succès	Nc	succès
,	Fw	,
ni	Cc	ni
craint	Vvc	craindre
le	Da	le
préjudice	Nc	préjudice
.	Fs	.
Vous	Pp	vous
prenez	Vvc	prendre
trop	Rg	trop
l'	Da	le
alarme	Nc	alarme
,	Fw	,
et	Cc	et
ce	Dd	ce
raisonnement	Nc	raisonnement
N'	Ag	n'
est	Vuc	être
point	Rg	point
à	S	à
votre	Ds	votre
crainte	Nc	crainte
,	Fw	,
un	Dn	un
juste	Ag	juste
fondement	Nc	fondement
:	Fw	:
Quand	Cs	quand
Dioclétian	Vvc	dioclétian
éleva	Vvc	élever
votre	Ds	votre
mère	Nc	mère
Au	Vvc	au
degré	Nc	degré
le	Da	le
plus	Rg	plus
haut	Ag	haut
que	Cs	que
l'	Da	le
univers	Nc	univers
révère	Vvc	révérer
,	Fw	,
Son	Nc	son
rang	Nc	rang
,	Fw	,
qu'	Cs	que
il	Pp	il
partageait	Vvc	partager
,	Fw	,
n'	Rp	ne
en	Pp	en
devint	Vvc	devenir
pas	Rg	pas
plus	Rg	plus
bas	Ag	bas
,	Fw	,
Et	Vvc	et
lui	Pp	il
faisant	Ga	faire
monter	Vvn	monter
,	Fw	,
il	Pp	il
n'	Rp	ne
en	Pp	en
descendit	Vvc	descendre
pas	Rg	pas
;	Fw	;
Il	Vvc	il
put	Vvc	pouvoir
concilier	Vvn	concilier
son	Ds	son
honneur	Nc	honneur
et	Cc	et
sa	Ds	son
flamme	Nc	flamme
,	Fw	,
Et	Vvc	et
choisi	Ge	choisir
par	S	par
les	Da	le
siens	Ps	sien
,	Fw	,
se	Pp	il
choisir	Vvn	choisir
une	Dn	un
femme	Nc	femme
;	Fw	;
Quelques	Vvc	quelques
associés	Nc	associé
qui	Pr	qui
règnent	Vvc	régner
avecque	Vvc	avecque
lui	Pp	il
,	Fw	,
Il	Vvc	il
est	Vuc	être
de	S	de
ses	Ds	son
États	Nc	états
le	Da	le
plus	Rg	plus
solide	Ag	solide
appui	Nc	appui
;	Fw	;
S'	Vvc	s'
ils	Pp	ils
sont	Vuc	être
les	Da	le
matelots	Nc	matelot
de	S	de
cette	Dd	ce
grande	Ag	grand
flotte	Nc	flotte|flotté
,	Fw	,
Il	Vvc	il
en	Pp	en
tient	Vvc	tenir
le	Da	le
timon	Nc	timon
,	Fw	,
il	Pp	il
en	Pp	en
est	Vuc	être
le	Da	le
pilote	Nc	pilote
,	Fw	,
Et	Vvc	et
ne	Rp	ne
les	Pp	ils
associe	Vvc	associer
à	S	à
des	Dn	un
emplois	Nc	emploi
si	Rg	si
hauts	Ag	haut
,	Fw	,
Que	Vvc	que
pour	S	pour
voir	Vvn	voir
des	Dn	un
césars	Nc	césar
au	S+Da	à+le
rang	Nc	rang
de	S	de
ses	Ds	son
vassaux	Nc	vassal
:	Fw	:
Voyez	Vvc	voir
comme	S	comme
un	Dn	un
fantôme	Nc	fantôme
,	Fw	,
un	Dn	un
songe	Nc	songe
,	Fw	,
une	Dn	un
chimère	Nc	chimère
,	Fw	,
Vous	Nc	vous
fait	Vvc	faire
mal	Rg	mal
expliquer	Vvn	expliquer
les	Da	le
mouvements	Nc	mouvement
d'	S	de
un	Dn	un
père	Nc	père
;	Fw	;
Et	Vvc	et
qu'	Cs	que
un	Dn	un
trouble	Ag	trouble
importun	Nc	importun
vous	Pp	vous
naît	Vvc	naître
mal	Rg	mal
à	S	à
propos	Nc	propos
,	Fw	,
D'	Nc	d'
où	Pr	où
doit	Vvc	devoir
si	Rg	si
justement	Rg	justement
naître	Vvn	naître
votre	Ds	votre
repos	Nc	repos
.	Fs	.
Je	Pp	je
ne	Rp	ne
m'	Pp	je
obstine	Vvc	obstiner
point	Rg	point
d'	S	de
un	Dn	un
effort	Nc	effort
volontaire	Ag	volontaire
Contre	Vvc	contrer
tes	Ds	ton
sentiments	Nc	sentiment
,	Fw	,
en	S	en
faveur	Nc	faveur
de	S	de
mon	Ds	mon
père	Nc	père
;	Fw	;
Et	Vvc	et
contre	S	contre
un	Dn	un
Père	Nc	père
,	Fw	,
enfin	Rg	enfin
,	Fw	,
l'	Da	le
enfant	Nc	enfant
a	Vuc	avoir
toujours	Rg	toujours
tort	Nc	tort
:	Fw	:
Mais	Cc	mais
me	Pp	je
répondras	Vvc	répondre
-tu	Vvn	-tu
des	Dn	un
caprices	Nc	caprice
du	S+Da	de+le
sort	Nc	sort
?	Fs	?
Ce	Dd	ce
monarque	Nc	monarque
insolent	Ag	insolent
,	Fw	,
à	S	à
qui	Pr	qui
toute	Di	tout
la	Da	le
terre	Nc	terre
,	Fw	,
Et	Vvc	et
tous	Di	tout
ses	Ds	son
souverains	Nc	souverain
,	Fw	,
sont	Vuc	être
des	Dn	un
jouets	Nc	jouet
de	S	de
verre	Nc	verre
,	Fw	,
Prescrit-il	Vvc	prescrit-il
son	Ds	son
pouvoir	Nc	pouvoir
?	Fs	?
Et	Cc	et
quand	Cs	quand
il	Pp	il
en	Pp	en
est	Vuc	être
las	Ag	las
,	Fw	,
Comme	Vvc	comme
il	Pp	il
les	Pp	ils
a	Vuc	avoir
formés	Ge	former
,	Fw	,
ne	Rp	ne
les	Pp	ils
brise-t-il	Vvc	brise-t-il
pas	Rg	pas
?	Fs	?
Peut-il	Rg	peut-il
pas	Rg	pas
,	Fw	,
s'	Cs	si
il	Pp	il
me	Pp	je
veut	Vvc	vouloir
dans	S	dans
un	Dn	un
état	Nc	état
vulgaire	Ag	vulgaire
,	Fw	,
Mettre	Vvn	mettre
la	Da	le
fille	Nc	fille
au	S+Da	à+le
point	Nc	point
dont	Pr	dont
il	Pp	il
tira	Vvc	tirer
la	Da	le
mère	Nc	mère
,	Fw	,
Détruire	Vvc	détruire
ses	Ds	son
faveurs	Nc	faveur
par	S	par
sa	Ds	son
légèreté	Nc	légèreté
,	Fw	,
Et	Vvc	et
de	S	de
mon	Ds	mon
songe	Nc	songe
,	Fw	,
enfin	Rg	enfin
,	Fw	,
faire	Vvn	faire
une	Dn	un
vérité	Nc	vérité
?	Fs	?
Il	Pp	il
est	Vuc	être
vrai	Ag	vrai
que	Cs	que
la	Da	le
mort	Nc	mort
,	Fw	,
contre	S	contre
son	Ds	son
inconstance	Nc	inconstance
,	Fw	,
Aux	Vvc	aux
grands	Ag	grand
coeurs	Nc	cœur
,	Fw	,
au	S+Da	à+le
besoin	Nc	besoin
,	Fw	,
offre	Vvc	offrir
son	Ds	son
assistance	Nc	assistance
,	Fw	,
Et	Vvc	et
peut	Vvc	pouvoir
toujours	Rg	toujours
braver	Vvn	braver
son	Ds	son
pouvoir	Nc	pouvoir
insolent	Ag	insolent
;	Fw	;
Mais	Vvc	mais
,	Fw	,
si	Cs	si
c'	Pd	ce
est	Vuc	être
un	Dn	un
remède	Nc	remède
,	Fw	,
il	Pp	il
est	Vuc	être
bien	Rg	bien
violent	Ag	violent
.	Fs	.
La	Da	le
mort	Nc	mort
a	Vuc	avoir
trop	Rg	trop
d'	S	de
horreur	Nc	horreur
,	Fw	,
pour	S	pour
espérer	Vvn	espérer
en	S	en
elle	Pp	il
,	Fw	,
Mais	Vvc	mais
espérez	Vvc	espérer
au	S+Da	à+le
ciel	Nc	ciel
,	Fw	,
qui	Pr	qui
vous	Pp	vous
a	Vuc	avoir
fait	Ge	faire
si	Rg	si
belle	Ag	beau
,	Fw	,
Et	Vvc	et
qui	Pr	qui
semble	Vvc	sembler
influer	Vvn	influer
,	Fw	,
avecques	Vvc	avecques
la	Da	le
beauté	Nc	beauté
,	Fw	,
Des	Vvc	des
marques	Nc	marque
de	S	de
puissance	Nc	puissance
,	Fw	,
et	Cc	et
de	S	de
prospérité	Nc	prospérité
.	Fs	.
Madame	Nc	madame
.	Fs	.
Que	Pt	que
veux	Vvc	vouloir
-tu	Vvn	-tu
?	Fs	?
L'	Da	le
Empereur	Nc	empereur
qui	Pr	qui
m'	Pp	je
envoie	Vvc	envoyer
Sur	Nc	sur
mes	Ds	mon
pas	Nc	pas
,	Fw	,
avec	S	avec
vous	Pp	vous
vient	Vvc	venir
partager	Vvn	partager
sa	Ds	son
joie	Nc	joie
.	Fs	.
Quelle	Dt	quel
?	Fs	?
L'	Pp	il
ignorez	Vvc	ignorer
-vous	Nc	-vous
?	Fs	?
Maximin	Nc	maximin
,	Fw	,
de	S	de
retour	Nc	retour
Des	Vvc	des
pays	Nc	pays
reculés	Ge	reculer
,	Fw	,
où	Pr	où
se	Pp	il
lève	Vvc	lever
le	Da	le
jour	Nc	jour
;	Fw	;
De	Vvc	de
leurs	Ds	leur
rebellions	Nc	rébellion
,	Fw	,
par	S	par
son	Ds	son
bras	Nc	bras
étouffées	Ge	étouffer
,	Fw	,
Aux	Vvc	aux
pieds	Nc	pied
de	S	de
l'	Da	le
Empereur	Nc	empereur
apporte	Vvc	apporter
les	Da	le
trophées	Nc	trophée
;	Fw	;
Et	Vvc	et
de	S	de
là	Rg	là
se	Pp	il
dispose	Vvc	disposer
à	S	à
l'	Da	le
honneur	Nc	honneur
de	S	de
vous	Pp	vous
voir	Vvn	voir
.	Fs	.
Il	Pp	il
s'	Pp	se
en	Pp	en
va	Vvc	aller
.	Fs	.
Sa	Ds	son
valeur	Nc	valeur
vous	Pp	vous
oblige	Vvc	obliger
à	S	à
le	Da	le
bien	Rg	bien
recevoir	Vvn	recevoir
.	Fs	.
Ne	Rp	ne
lui	Pp	il
retenez	Vvc	retenir
pas	Rg	pas
le	Da	le
fruit	Nc	fruit
de	S	de
sa	Ds	son
victoire	Nc	victoire
;	Fw	;
Le	Vvc	le
plus	Rg	plus
grand	Ag	grand
des	S+Da	de+le|de+les
larcins	Nc	larcin
,	Fw	,
est	Vuc	être
celui	Pd	celui
de	S	de
la	Da	le
gloire	Nc	gloire
.	Fs	.
Mon	Ds	mon
esprit	Nc	esprit
agité	Ge	agiter
d'	S	de
un	Dn	un
secret	Ag	secret
mouvement	Nc	mouvement
,	Fw	,
De	Vvc	de
cette	Dd	ce
émotion	Nc	émotion
,	Fw	,
chérit	Vvc	chérir
le	Da	le
sentiment	Nc	sentiment
;	Fw	;
Et	Vvc	et
cet	Dd	ce
heur	Nc	heur
inconnu	Ag	inconnu
,	Fw	,
qui	Pr	qui
flatte	Vvc	flatter
ma	Ds	mon
pensée	Nc	pensée
,	Fw	,
Dissipe	Vvc	dissiper
ma	Ds	mon
frayeur	Nc	frayeur
,	Fw	,
et	Cc	et
l'	Pp	il
a	Vuc	avoir
presque	Rg	presque
effacée	Ge	effacer
;	Fw	;
Laissons	Vvc	laisser
notre	Ds	notre
conduite	Nc	conduite
à	S	à
la	Da	le
bonté	Nc	bonté
des	S+Da	de+le|de+les
Dieux	Nc	dieux
.	Fs	.
Voyant	Ga	voir
Maximin	Nc	maximin
.	Fs	.
Ô	Nc	ô
Ciel	Vvc	ciel
!	Fs	!
Qu'	Cs	que
un	Dn	un
doux	Ag	doux
travail	Nc	travail
m'	Pp	je
entre	Vvc	entrer
au	S+Da	à+le
coeur	Nc	cœur
par	S	par
les	Da	le
yeux	Nc	œil
!	Fs	!
Il	Pp	il
se	Pp	il
fait	Vvc	faire
un	Dn	un
bruit	Nc	bruit
de	S	de
tambours	Nc	tambour
et	Cc	et
de	S	de
trompettes	Nc	trompette
.	Fs	.
Maximin	Nc	maximin
baise	Vvc	baiser
les	Da	le
mains	Nc	main
de	S	de
Valérie	Nc	valérie
.	Fs	.
Déployez	Nc	déployez
,	Fw	,
Valérie	Vvc	valérie
,	Fw	,
et	Cc	et
vos	Ds	votre
traits	Nc	trait|traits
et	Cc	et
vos	Ds	votre
charmes	Nc	charme
;	Fw	;
Au	Vvc	au
vainqueur	Nc	vainqueur
d'	S	de
Orient	Vvc	orient
,	Fw	,
faites	Vvc	faire
tomber	Vvn	tomber
les	Da	le
armes	Nc	arme|armé
;	Fw	;
Par	Nc	par
lui	Pp	il
,	Fw	,
l'	Da	le
Empire	Nc	empire
est	Vuc	être
calme	Ag	calme
,	Fw	,
et	Cc	et
n'	Rp	ne
a	Vuc	avoir
plus	Rg	plus
d'	S	de
ennemis	Nc	ennemi
;	Fw	;
Soumettez	Vvc	soumettre
ce	Dd	ce
grand	Ag	grand
coeur	Nc	cœur
,	Fw	,
qui	Pr	qui
nous	Pp	nous
a	Vuc	avoir
tout	Rg	tout
soumis	Ge	soumettre
;	Fw	;
Chargez	Vvc	charger
de	S	de
fers	Nc	fer|fers
un	Dn	un
bras	Nc	bras
fatal	Ag	fatal
à	S	à
tant	Rg	tant
de	S	de
têtes	Nc	tête
,	Fw	,
Et	Vvc	et
faites	Vvc	faire
sa	Ds	son
prison	Nc	prison
,	Fw	,
le	Da	le
prix	Nc	prix
de	S	de
ses	Ds	son
conquêtes	Nc	conquête
.	Fs	.
Déjà	Nc	déjà
,	Fw	,
par	S	par
ses	Ds	son
exploits	Nc	exploit
,	Fw	,
il	Pp	il
avait	Vuc	avoir
mérité	Ge	mériter
La	Vvc	la
part	Nc	part
que	Pr	que
je	Pp	je
lui	Pp	il
fis	Vvc	faire
,	Fw	,
de	S	de
mon	Ds	mon
autorité	Nc	autorité
;	Fw	;
Et	Vvc	et
sa	Ds	son
haute	Ag	haut
vertu	Nc	vertu
,	Fw	,
réparant	Ga	réparer
sa	Ds	son
naissance	Nc	naissance
,	Fw	,
Lui	Nc	lui
fit	Vvc	faire
,	Fw	,
sur	S	sur
mes	Ds	mon
sujets	Nc	sujet
,	Fw	,
partager	Vvn	partager
ma	Ds	mon
puissance	Nc	puissance
:	Fw	:
Aujourd'hui	Rg	aujourd'hui
,	Fw	,
que	Cs	que
pour	S	pour
prix	Nc	prix
des	S+Da	de+le|de+les
pertes	Nc	perte
de	S	de
son	Ds	son
sang	Nc	sang
,	Fw	,
Je	Vvc	je
ne	Rp	ne
puis	Vvc	pouvoir
l'	Pp	il
honorer	Vvn	honorer
d'	S	de
un	Dn	un
plus	Rg	plus
illustre	Ag	illustre
rang	Nc	rang
,	Fw	,
Je	Vvc	je
lui	Pp	il
dois	Vvc	devoir
mon	Ds	mon
sang	Nc	sang
même	Ag	même
,	Fw	,
et	Cc	et
lui	Pp	il
donnant	Ga	donner
ma	Ds	mon
fille	Nc	fille
,	Fw	,
Lui	Nc	lui
fais	Vvc	faire
part	Nc	part
de	S	de
mes	Ds	mon
droits	Nc	droit|droits
,	Fw	,
sur	S	sur
ma	Ds	mon
propre	Ag	propre
famille	Nc	famille
.	Fs	.
Ce	Dd	ce
présent	Nc	présent
,	Fw	,
Maximin	Nc	maximin
,	Fw	,
est	Vuc	être
encore	Rg	encore
au-dessous	Rg	au-dessous
Du	Ag	du
service	Nc	service
important	Ga	importer
que	Cs	que
j'	Pp	je
ai	Vuc	avoir
reçu	Ge	recevoir
de	S	de
vous	Pp	vous
;	Fw	;
Mais	Vvc	mais
pour	S	pour
faire	Vvn	faire
vos	Ds	votre
prix	Nc	prix
égaux	Ag	égal
à	S	à
vos	Ds	votre
mérites	Nc	mérite
,	Fw	,
La	Vvc	la
Terre	Nc	terre
trouverait	Vvc	trouver
ses	Ds	son
bornes	Nc	borne
trop	Rg	trop
petites	Ag	petit
;	Fw	;
Et	Vvc	et
vous	Pp	vous
avez	Vuc	avoir
rendu	Ge	rendre
mon	Ds	mon
pouvoir	Nc	pouvoir
impuissant	Ag	impuissant
,	Fw	,
Et	Vvc	et
restreint	Ge	restreindre
envers	S	envers
vous	Pp	vous
,	Fw	,
ma	Ds	mon
force	Nc	force|forcé
,	Fw	,
en	S	en
l'	Pp	il
accroissant	Ga	accroître
.	Fs	.
La	Da	le
part	Nc	part
que	Cs	que
vos	Ds	votre
bontés	Nc	bonté
m'	Pp	je
ont	Vuc	avoir
fait	Ge	faire
prendre	Vvn	prendre
en	S	en
l'	Da	le
Empire	Nc	empire
,	Fw	,
N'	Vvc	n'
égale	Vvc	égaler
point	Rg	point
,	Fw	,
Seigneur	Nc	seigneur
,	Fw	,
ces	Dd	ce
beaux	Ag	beau
fers	Nc	fer|fers
où	Pr	où
j'	Pp	je
aspire	Vvc	aspirer
;	Fw	;
Tous	Nc	toux
les	Da	le
arcs	Nc	arc
triomphants	Ag	triomphant
,	Fw	,
que	Pr	que
Rome	Vvc	rome
m'	Pp	je
a	Vuc	avoir
dressés	Ge	dresser
,	Fw	,
Cèdent	Vvc	cèdent
à	S	à
la	Da	le
prison	Nc	prison
que	Pr	que
vous	Pp	vous
me	Pp	je
bâtissez	Vvc	bâtir
;	Fw	;
Et	Vvc	et
de	S	de
victorieux	Ag	victorieux
des	S+Da	de+le|de+les
bords	Nc	bord
que	Pr	que
l'	Pp	il
Inde	Vvc	inde
lave	Vvc	laver
,	Fw	,
J'	Vvc	j'
accepte	Vvc	accepter
plus	Rg	plus
content	Ag	content
,	Fw	,
la	Da	le
qualité	Nc	qualité
d'	S	de
esclave	Nc	esclave
;	Fw	;
Que	Vvc	que
dépouillant	Ga	dépouiller
ce	Dd	ce
corps	Nc	corps
,	Fw	,
vous	Pp	vous
ne	Rp	ne
prendrez	Vvc	prendre
aux	S+Da	à+les
cieux	Nc	ciel|cieux
Le	Vvc	le
rang	Nc	rang
par	S	par
vos	Ds	votre
vertus	Nc	vertu
acquis	Nc	acquis|acquit
entre	S	entre
les	Da	le
dieux	Nc	dieu|dieux
;	Fw	;
Mais	Vvc	mais
oser	Vvn	oser
concevoir	Vvn	concevoir
cette	Dd	ce
insolente	Ag	insolent
audace	Nc	audace
,	Fw	,
Est	Vvc	est
plutôt	Rg	plutôt
mériter	Vvn	mériter
son	Ds	son
mépris	Nc	mépris
,	Fw	,
que	Cs	que
sa	Ds	son
grâce	Nc	grâce
;	Fw	;
Et	Vvc	et
quoi	Pt	quoi
qu'	Cs	que
ait	Vuc	avoir
fait	Ge	faire
ce	Dd	ce
bras	Nc	bras
,	Fw	,
il	Pp	il
ne	Rp	ne
m'	Pp	je
