Ô	Vvc	ô
le	Da	le
bon	Ag	bon
cajoleur	Nc	cajoleur
!	Fs	!
Avec	S	avec
combien	Rg	combien
d'	S	de
adresse	Nc	adresse
Il	Vvc	il
me	Pp	je
veut	Vvc	vouloir
engager	Vvn	engager
à	S	à
trahir	Vvn	trahir
ma	Ds	mon
Maîtresse	Nc	maîtresse
!	Fs	!
La	Da	le
trahir	Nc	trahir
!	Fs	!
Pour	S	pour
cela	Pd	cela
je	Pp	je
te	Pp	tu
veux	Vvc	vouloir
trop	Rg	trop
de	S	de
bien	Rg	bien
;	Fw	;
Mais	Vvc	mais
on	Pp	on
parle	Vvc	parler
de	S	de
tout	Pi	tout
par	S	par
forme	Nc	forme
d'	S	de
entretien	Nc	entretien
.	Fs	.
Elle	Pp	il
est	Vuc	être
riche	Ag	riche
?	Fs	?
Oui	Rg	oui
,	Fw	,
te	Pp	tu
dis	Vvc	dire
-je	Nc	-je
,	Fw	,
aussi	Rg	aussi
riche	Ag	riche
que	Cs	que
belle	Ag	beau
.	Fs	.
Son	Ds	son
nom	Nc	nom
?	Fs	?
Ah	I	ah
!	Fs	!
Dis-le	Vvc	dis-le
moi	Pp	je
,	Fw	,
ténébreuse	Nc	ténébreux
Donzelle	Nc	donzelle
.	Fs	.
Point	Rg	point
.	Fs	.
Et	Cc	et
quoi	Pt	quoi
,	Fw	,
doutes	Nc	doute
-tu	Vvc	-tu
que	Cs	que
je	Pp	je
ne	Rp	ne
sois	Vuc	être
discret	Ag	discret
?	Fs	?
Son	Ds	son
nom	Nc	nom
est	Vuc	être
...	Fs	...
Et	Vvc	et
bien	Rg	bien
,	Fw	,
c'	Pd	ce
est	Vuc	être
?	Fs	?
Un	Dn	un
secret	Nc	secret
très	Rg	très
secret	Ag	secret
.	Fs	.
Ah	I	ah
!	Fs	!
J'	Pp	je
en	Pp	en
tremble	Vvc	trembler
pour	S	pour
toi	Pp	tu
,	Fw	,
veux	Vvc	vouloir
-tu	Vvc	-tu
mourir	Vvn	mourir
martyre	Nc	martyr|martyre
?	Fs	?
Tu	Pp	tu
t'	Pp	tu
en	Pp	en
vas	Vvc	aller
étouffer	Vvn	étouffer
,	Fw	,
hâte	Nc	hâte
-toi	Vvc	-toi
de	S	de
le	Pp	il
dire	Vvn	dire
.	Fs	.
Crois	Vvc	croire|croître
-tu	Vvn	-tu
qu'	Cs	que
il	Pp	il
pèse	Vvc	peser
tant	Rg	tant
?	Fs	?
Tu	Pp	tu
serais	Vuc	être
en	S	en
