Soeur	Nc	sœur
du	S+Da	de+le
plus	Rg	plus
grand	Ag	grand
des	S+Da	de+le|de+les
Dieux	Nc	dieux
,	Fw	,
(	Fw	(
car	Cc	car
ce	Dd	ce
nom	Nc	nom
seul	Ag	seul
me	Pp	je
reste	Vvc	rester
)	Fw	)
Honteuse	Nc	honteuse
,	Fw	,
je	Pp	je
descends	Vvc	descendre
de	S	de
la	Da	le
voûte	Nc	voûte
Céleste	Vvc	céleste
,	Fw	,
Et	Vvc	et
veuve	Nc	veuf|veuve
d'	S	de
un	Dn	un
époux	Nc	époux
qui	Pr	qui
ne	Rp	ne
mourra	Vvc	mourir
jamais	Rg	jamais
,	Fw	,
Le	Vvc	le
fuis	Ge	fuir
,	Fw	,
puisqu'il	Cs	puisqu'il
me	Pp	je
fuit	Vvc	fuir
,	Fw	,
et	Cc	et
lui	Pp	il
laisse	Vvc	laisser
la	Da	le
paix	Nc	paix
;	Fw	;
Les	Vvc	les
maîtresses	Nc	maître|maîtresse
,	Fw	,
enfin	Rg	enfin
,	Fw	,
l'	Pp	il
emportent	Vvc	emporter
sur	S	sur
l'	Da	le
épouse	Nc	épouse|époux
,	Fw	,
Elles	Nc	elles
sont	Vuc	être
les	Da	le
Junons	Nc	junons
,	Fw	,
et	Cc	et
je	Pp	je
suis	Vuc	être
la	Da	le
jalouse	Nc	jaloux
,	Fw	,
Il	Vvc	il
me	Pp	je
prescrit	Vvc	prescrire
la	Da	le
terre	Nc	terre
,	Fw	,
et	Cc	et
leur	Pp	leur
marque	Vvc	marquer
les	Da	le
cieux	Nc	ciel|cieux
,	Fw	,
Et	Vvc	et
du	S+Da	de+le
bras	Nc	bras
qu'	Pr	que
il	Pp	il
leur	Pp	leur
tend	Vvc	tendre
,	Fw	,
il	Pp	il
me	Pp	je
pousse	Vvc	pousser
en	S	en
ces	Dd	ce
lieux	Nc	lieu
.	Fs	.
Ses	Ds	son
premières	Ag	premier
amours	Nc	amour
,	Fw	,
cette	Dd	ce
fille	Nc	fille
profane	Vvc	profaner
,	Fw	,
Que	Vvc	que
dessous	S	dessous
les	Da	le
habits	Nc	habit|habits
,	Fw	,
et	Cc	et
le	Da	le
nom	Nc	nom
de	S	de
Diane	Nc	diane
,	Fw	,
(	Fw	(
Diane	Nc	diane
,	Fw	,
qui	Pr	qui
préside	Vvc	présider
à	S	à
la	Da	le
virginité	Nc	virginité
,	Fw	,
)	Fw	)
Ce	Vvc	ce
traître	Ag	traître
dépouilla	Vvc	dépouiller
de	S	de
cette	Dd	ce
qualité	Nc	qualité
,	Fw	,
N'	Vvc	n'
y	Pp	y
règne-t-elle	Vvc	règne-t-elle
pas	Rg	pas
sous	S	sous
la	Da	le
forme	Nc	forme
d'	S	de
une	Dn	un
Ourse	Nc	ours|ourse
,	Fw	,
Et	Vvc	et
son	Ds	son
mal	Nc	mal
,	Fw	,
de	S	de
son	Ds	son
bien	Nc	bien
,	Fw	,
ne	Rp	ne
fut-il	V	fut-il
pas	Rg	pas
la	Da	le
source	Nc	source
;	Fw	;
Quel	Vvc	quel
fruit	Nc	fruit
eut	Vuc	avoir
mon	Ds	mon
courroux	Nc	courroux
de	S	de
transformer	Vvn	transformer
son	Ds	son
corps	Nc	corps
,	Fw	,
Elle	Vvc	elle
occupe	Vvc	occuper
le	Da	le
ciel	Nc	ciel
,	Fw	,
et	Cc	et
m'	Pp	je
en	Pp	en
voici	S	voici
dehors	Nc	dehors
,	Fw	,
Ma	Vvc	ma
vengeance	Nc	vengeance
profite	Vvc	profiter
aux	S+Da	à+les
objets	Nc	objet
de	S	de
ma	Ds	mon
haine	Nc	haine
,	Fw	,
Et	Vvc	et
j'	Pp	je
établis	Vvc	établir
leur	Ds	leur
gloire	Nc	gloire
,	Fw	,
en	S	en
méditant	Ga	méditer
leur	Ds	leur
peine	Nc	peine
.	Fs	.
Sur	S	sur
ce	Dd	ce
trône	Nc	trône
éternel	Ag	éternel
,	Fw	,
les	Da	le
sept	Nc	sept
filles	Nc	fille
d'	S	de
Atlas	Vvc	atlas
,	Fw	,
À	Nc	à
ma	Ds	mon
confusion	Nc	confusion
ne	Rp	ne
brillent	Vvc	briller
-elles	Nc	-elles
pas	Rg	pas
?	Fs	?
Des	S+Da	de+le|de+les
pudiques	Ag	pudique
,	Fw	,
la	Da	le
gloire	Nc	gloire
est	Vuc	être
due	Ge	devoir
aux	S+Da	à+les
vicieuses	Nc	vicieux
,	Fw	,
Et	Vvc	et
le	Da	le
crime	Nc	crime
de	S	de
trois	Nc	trois
,	Fw	,
en	Pp	en
fit	Vvc	faire
sept	Nc	sept
glorieuses	Ag	glorieux
.	Fs	.
Vis	Vvc	vivre|voir
-je	Vvn	-je
pas	Rg	pas
,	Fw	,
qu'	Cs	que
à	S	à
ma	Ds	mon
honte	Nc	honte
Ariane	Ag	ariane
y	Pp	y
monta	Vvc	monter
Par	Nc	par
la	Da	le
faveur	Nc	faveur
du	S+Da	de+le
fils	Nc	fil|fils
dont	Pr	dont
Séméle	Vvc	séméle
avorta	Vvc	avorter
?	Fs	?
Les	Da	le
deux	Nc	deux
Astres	Vvc	astres
Jumeaux	Nc	jumeau
,	Fw	,
que	Cs	que
l'	Da	le
Océan	Nc	océan
révère	Vvc	révérer
,	Fw	,
N'	Vvc	n'
y	Pp	y
triomphent	Vvc	triompher
-ils	Vvc	-ils
pas	Rg	pas
du	S+Da	de+le
péché	Nc	péché
de	S	de
leur	Ds	leur
mère	Nc	mère
?	Fs	?
L'	Da	le
honneur	Nc	honneur
ne	Rp	ne
