Magnanime	Ag	magnanime
Darie	Vvc	darie
,	Fw	,
et	Cc	et
vous	Pp	vous
brave	Ag	brave
Artaxerce	Vvc	artaxerce
,	Fw	,
Race	Vvc	race
du	S+Da	de+le
grand	Ag	grand
Cyrus	Nc	cyrus
,	Fw	,
et	Cc	et
l'	Da	le
honneur	Nc	honneur
de	S	de
la	Da	le
Perse	Nc	perse
,	Fw	,
D'	Nc	d'
un	Dn	un
père	Nc	père
trop	Rg	trop
barbare	Ag	barbare
,	Fw	,
enfants	Nc	enfant
trop	Rg	trop
généreux	Ag	généreux
,	Fw	,
Qui	Vvc	qui
méritez	Vvc	mériter
d'	S	de
avoir	Vun	avoir
un	Dn	un
destin	Nc	destin
plus	Rg	plus
heureux	Ag	heureux
;	Fw	;
Vous	Nc	vous
qu'	Cs	que
en	S	en
ses	Ds	son
chastes	Ag	chaste
flancs	Nc	flanc
a	Vuc	avoir
porté	Ge	porter
Rodogune	Nc	rodogune
Dignes	Vvc	dignes
d'	S	de
un	Dn	un
autre	Ag	autre
père	Nc	père
et	Cc	et
d'	S	de
une	Dn	un
autre	Ag	autre
Fortune	Nc	fortune
.	Fs	.
Ah	I	ah
mes	Ds	mon
fils	Nc	fil|fils
!	Fs	!
Ah	I	ah
mon	Ds	mon
sang	Nc	sang
!	Fs	!
Ah	I	ah
,	Fw	,
mon	Ds	mon
unique	Ag	unique
espoir	Nc	espoir
!	Fs	!
Faut-il	Vvc	faut-il
voir	Vvn	voir
obscurcir	Vvn	obscurcir
l'	Da	le
éclat	Nc	éclat
de	S	de
mon	Ds	mon
pouvoir	Nc	pouvoir
.	Fs	.
Hydaspe	Nc	hydaspe
est	Vuc	être
sans	S	sans
honneur	Nc	honneur
;	Fw	;
oui	Ge	ouïr
sa	Ds	son
gloire	Nc	gloire
est	Vuc	être
ternie	Ge	ternir
,	Fw	,
Et	Vvc	et
la	Da	le
Perse	Nc	perse
reçoit	Vvc	recevoir
des	S+Da	de+le|de+les
Lois	Vvc	lois
de	S	de
l'	Da	le
Arménie	Nc	arménie
,	Fw	,
Tygranne	Vvc	tygranne
voit	Vvc	voir
fleurir	Vvn	fleurir
ses	Ds	son
tragiques	Ag	tragique
projets	Nc	projet
,	Fw	,
Tous	Nc	toux
nos	Ds	notre
fleuves	Nc	fleuve
sont	Vuc	être
teints	Ge	teindre
du	S+Da	de+le
sang	Nc	sang
de	S	de
nos	Ds	notre
sujets	Nc	sujet
,	Fw	,
Nos	Nc	nô
plus	Rg	plus
belles	Ag	beau
cités	Nc	cité
d'	S	de
habitants	Nc	habitant
sont	Vuc	être
désertes	Ag	désert
Et	Vvc	et
de	S	de
moissons	Nc	moisson
de	S	de
morts	Nc	mort
les	Da	le
plaines	Nc	plaine
sont	Vuc	être
couvertes	Ge	couvrir
.	Fs	.
Madame	Nc	madame
,	Fw	,
modérez	Vvc	modérer
cet	Dd	ce
excès	Nc	excès
de	S	de
douleur	Nc	douleur
,	Fw	,
N'	Vvc	n'
accusez	Vvc	accuser
point	Rg	point
mon	Ds	mon
père	Nc	père
,	Fw	,
accusez	Vvc	accuser
le	Da	le
malheur	Nc	malheur
;	Fw	;
Si	Vvc	si
Bellone	Vvc	bellone
en	S	en
fureur	Nc	fureur
ravagea	Vvc	ravager
cette	Dd	ce
terre	Nc	terre
,	Fw	,
La	Vvc	la
Paix	Nc	paix
éloignera	Vvc	éloigner
les	Da	le
maux	Nc	mal
qu'	Pr	que
a	Vuc	avoir
fait	Ge	faire
la	Da	le
Guerre	Nc	guerre
.	Fs	.
Quoi	Pt	quoi
que	Cs	que
la	Da	le
Guerre	Nc	guerre
ait	Vuc	avoir
eu	Ge	avoir
de	S	de
si	Rg	si
sanglants	Ag	sanglant
effets	Nc	effet
,	Fw	,
J'	Vvc	j'
en	Pp	en
ai	Vuc	avoir
bien	Rg	bien
moins	Rg	moins
d'	S	de
horreur	Nc	horreur
que	Pr	que
je	Pp	je
n'	Rp	ne
ai	Vuc	avoir
de	S	de
la	Da	le
Paix	Nc	paix
,	Fw	,
Elle	Vvc	elle
seule	Ag	seul
d'	S	de
Hydaspe	Nc	hydaspe
obscurcit	Vvc	obscurcir
la	Da	le
mémoire	Nc	mémoire
:	Fw	:
On	Pp	on
ne	Rp	ne
perd	Vvc	perdre
pas	Rg	pas
l'	Da	le
honneur	Nc	honneur
pour	S	pour
perdre	Vvn	perdre
une	Dn	un
victoire	Nc	victoire
.	Fs	.
Et	Cc	et
l'	Da	le
aveugle	Ag	aveugle
Fortune	Nc	fortune
avec	S	avec
Mars	Nc	mar|mars
combattant	Ag	combattant
,	Fw	,
La	Vvc	la
donne	Vvc	donner
au	S+Da	à+le
plus	Rg	plus
heureux	Ag	heureux
,	Fw	,
plutôt	Rg	plutôt
qu'	Cs	que
au	S+Da	à+le
plus	Rg	plus
vaillant	Ag	vaillant
:	Fw	:
Mon	Ds	mon
époux	Nc	époux
la	Da	le
perdant	Nc	perdant
conserva	Vvc	conserver
mon	Ds	mon
estime	Nc	estime
,	Fw	,
Il	Vvc	il
était	Vuc	être
malheureux	Ag	malheureux
,	Fw	,
mais	Cc	mais
il	Pp	il
était	Vuc	être
sans	S	sans
crime	Nc	crime
;	Fw	;
Tout	Vvc	tout
vaincu	Ge	vaincre
qu'	Cs	que
il	Pp	il
était	Vuc	être
,	Fw	,
je	Pp	je
lui	Pp	il
gardais	Vvc	garder
mon	Ds	mon
coeur	Nc	cœur
,	Fw	,
Ma	Vvc	ma
haine	Nc	haine
seulement	Rg	seulement
était	Vuc	être
pour	S	pour
son	Ds	son
vainqueur	Nc	vainqueur
.	Fs	.
De	S	de
ma	Ds	mon
foi	Nc	foi
n'	Rp	ne
eut-il	V	eut-il
pas	Rg	pas
une	Dn	un
preuve	Nc	preuve
assez	Rg	assez
belle	Ag	beau
,	Fw	,
Lors	Nc	lord
qu'	Pr	que
on	Pp	on
vint	Vvc	venir
de	S	de
sa	Ds	son
mort	Nc	mort
m'	Pp	je
annoncer	Vvn	annoncer
la	Da	le
nouvelle	Nc	nouveau|nouvelle
,	Fw	,
Qu'	Vvc	qu'
Arbas	Vvc	arbas
en	Pp	en
répandit	Vvc	répandre
le	Da	le
faux	Ag	faux
bruit	Nc	bruit
dans	S	dans
ces	Dd	ce
lieux	Nc	lieu
,	Fw	,
Ma	Vvc	ma
bouche	Nc	bouche
de	S	de
soupirs	Nc	soupir
ne	Rp	ne
troubla	Vvc	troubler
point	Rg	point
les	Da	le
Cieux	Nc	ciel|cieux
;	Fw	;
Je	Vvc	je
ne	Rp	ne
m'	Pp	je
amusai	Vvc	amuser
point	Rg	point
à	S	à
répandre	Vvn	répandre
des	Dn	un
larmes	Nc	larme
,	Fw	,
J'	Vvc	j'
encourageai	Vvc	encourager
les	Da	le
miens	Ps	mien
,	Fw	,
je	Pp	je
demandai	Vvc	demander
mes	Ds	mon
armes	Nc	arme|armé
;	Fw	;
Et	Vvc	et
quoi	Pt	quoi
que	Cs	que
son	Ds	son
trépas	Nc	trépas
mit	Vvc	mettre
la	Da	le
Perse	Nc	perse
en	S	en
danger	Nc	danger
,	Fw	,
Au	Vvc	au
lieu	Nc	lieu
de	S	de
pleurer	Vvn	pleurer
,	Fw	,
j'	Pp	je
allais	Vvc	aller
pour	S	pour
le	Pp	il
venger	Vvn	venger
,	Fw	,
J'	Vvc	j'
allais	Vvc	aller
de	S	de
ce	Dd	ce
vainqueur	Nc	vainqueur
forcer	Vvn	forcer
les	Da	le
destinées	Nc	destinée
,	Fw	,
Quand	Nc	quand
celle	Pd	celui
qui	Pr	qui
prit	Vvc	prendre
soin	Nc	soin
de	S	de
mes	Ds	mon
tendres	Ag	tendre
années	Nc	année
,	Fw	,
Toute	Vvc	toute
tremblante	Ag	tremblant
au	S+Da	à+le
bruit	Nc	bruit
de	S	de
mes	Ds	mon
nobles	Ag	noble
fureurs	Nc	fureur
,	Fw	,
Voulut	Vvc	vouloir
me	Pp	je
retenir	Vvn	retenir
par	S	par
ses	Ds	son
timides	Ag	timide
pleurs	Nc	pleur
,	Fw	,
Voyant	Ga	voir
de	S	de
son	Ds	son
bonheur	Nc	bonheur
,	Fw	,
l'	Da	le
Arménie	Nc	arménie
insolente	Ag	insolent
,	Fw	,
Qui	Vvc	qui
jusques	Rg	jusques
dedans	Rg	dedans
Suse	Ag	suse
apportait	Vvc	apporter
l'	Da	le
épouvante	Nc	épouvante
;	Fw	;
Que	Vvc	que
Tygranne	Vvc	tygranne
orgueilleux	Ag	orgueilleux
à	S	à
la	Da	le
tête	Nc	tête
des	S+Da	de+le|de+les
siens	Ps	sien
,	Fw	,
Effrayait	Vvc	effrayer
dans	S	dans
ses	Ds	son
murs	Nc	mur|murs
nos	Ds	notre
plus	Rg	plus
fiers	Ag	fier
citoyens	Nc	citoyen
,	Fw	,
Elle	Vvc	elle
me	Pp	je
conseilla	Vvc	conseiller
de	S	de
mettre	Vvn	mettre
