Ah	I	ah
!	Fs	!
Je	Pp	je
t'	Pp	tu
étrillerai	Vvc	étriller
sur	S	sur
le	Da	le
ventre	Nc	ventre
et	Cc	et
partout	Rg	partout
;	Fw	;
Maroufle	Vvc	maroufler
,	Fw	,
tu	Pp	tu
mets	Vvc	mettre
donc	Rg	donc
ma	Ds	mon
patience	Nc	patience
à	S	à
bout	Nc	bout
?	Fs	?
Vit	Vvc	vivre|voir
-on	Nc	-on
jamais	Rg	jamais
valet	Nc	valet
d'	S	de
une	Dn	un
audace	Nc	audace
pareille	Ag	pareil
?	Fs	?
Tu	Pp	tu
me	Pp	je
veux	Vvc	vouloir
conseiller	Vvn	conseiller
;	Fw	;
et	Cc	et
moi	Pp	je
je	Pp	je
te	Pp	tu
conseille	Vvc	conseiller
De	Nc	dé
ne	Rp	ne
t'	Pp	tu
ingérer	Vvn	ingérer
plus	Rg	plus
à	S	à
donner	Vvn	donner
des	Dn	un
avis	Nc	avis
,	Fw	,
Qui	Vvc	qui
seront	Vuc	être
mieux	Rg	mieux
payés	Ge	payer
,	Fw	,
qu'	Cs	que
ils	Pp	ils
ne	Rp	ne
seront	Vuc	être
suivis	Nc	suivi
.	Fs	.
Conseillant	Ga	conseiller
bien	Rg	bien
...	Fs	...
Poursuis	Vvc	poursuivre
,	Fw	,
parle	Vvc	parler
,	Fw	,
corrige	Nc	corrigé
,	Fw	,
cause	Nc	cause
,	Fw	,
Trouve	Vvc	trouver
à	S	à
redire	Vvn	redire
en	S	en
moi	Pp	je
jusqu'	S	jusque
à	S	à
la	Da	le
moindre	Ag	moindre
chose	Nc	chose
,	Fw	,
Et	Vvc	et
tu	Pp	tu
verras	Vvc	voir
encor	Nc	encor
si	Cs	si
je	Pp	je
frappe	Vvc	frapper
bien	Rg	bien
fort	Rg	fort
.	Fs	.
Lorsque	Cs	lorsque
vous	Pp	vous
me	Pp	je
frappez	Vvc	frapper
vous	Pp	vous
avez	Vuc	avoir
toujours	Rg	toujours
tort	Nc	tort
;	Fw	;
Et	Vvc	et
moi	Pp	je
toujours	Rg	toujours
raison	Nc	raison
,	Fw	,
quand	Cs	quand
je	Pp	je
reprends	Vvc	reprendre
vos	Ds	votre
fautes	Nc	faute
.	Fs	.
N'	Rp	ne
importe	Vvc	importer
,	Fw	,
c'	Pd	ce
est	Vuc	être
à	S	à
faire	Vvn	faire
à	S	à
perdre	Vvn	perdre
quelques	Di	quelque
côtes	Nc	côte|côté
;	Fw	;
Me	Vvc	me
dussiez	Vvc	devoir
-vous	Nc	-vous
casser	Vvn	casser
un	Dn	un
bras	Nc	bras
,	Fw	,
voire	Cc	voire
le	Da	le
cou	Nc	cou
,	Fw	,
Toutes	Vvc	toutes
et	Cc	et
quantes	Ga	quantes
fois	Nc	fois
que	Pr	que
vous	Pp	vous
ferez	Vvc	faire|ferrer
le	Da	le
fou	Ag	fou
,	Fw	,
En	Vvc	en
vrai	Ag	vrai
valet	Nc	valet
d'	S	de
honneur	Nc	honneur
,	Fw	,
je	Pp	je
prétends	Vvc	prétendre
vous	Pp	vous
reprendre	Vvn	reprendre
.	Fs	.
Faites	Vvc	faire
mieux	Rg	mieux
,	Fw	,
payez	Vvc	payer
-moi	Vvc	-moi
,	Fw	,
je	Pp	je
suis	Vuc	être
prêt	Ag	prêt
de	S	de
vous	Pp	vous
rendre	Vvn	rendre
Le	Vvc	le
pompeux	Ag	pompeux
vêtement	Nc	vêtement
que	Pr	que
m'	Pp	je
avez	Vuc	avoir
donné	Ge	donner
,	Fw	,
Où	Vvc	où
votre	Ds	votre
Seigneurie	Nc	seigneurie
a	Vuc	avoir
si	Rg	si
bien	Rg	bien
lésiné	Ge	lésiner
,	Fw	,
Qu'	Vvc	qu'
avec	S	avec
un	Dn	un
galon	Nc	galon
vert	Ag	vert
qu'	Pr	que
elle	Pp	il
a	Vuc	avoir
fait	Ge	faire
coudre	Vvn	coudre
en	S	en
onde	Nc	onde
,	Fw	,
Elle	Vvc	elle
estime	Vvc	estimer
son	Ds	son
train	Nc	train
le	Da	le
plus	Rg	plus
leste	Ge	lester
du	S+Da	de+le
monde	Nc	monde
.	Fs	.
Dis	Vvc	dire
-moi	Vvc	-moi
,	Fw	,
maître	Nc	maître
coquin	Ag	coquin
,	Fw	,
qui	Pr	qui
veux	Vvc	vouloir
aussi	Rg	aussi
railler	Vvn	railler
,	Fw	,
T'	Vvc	t'
ai	Vuc	avoir
-je	Ge	-je
pris	Ge	prendre
pour	S	pour
valet	Nc	valet
,	Fw	,
ou	Cc	ou
bien	Rg	bien
pour	S	pour
conseiller	Nc	conseiller
?	Fs	?
Vous	Pp	vous
m'	Pp	je
avez	Vuc	avoir
pris	Ge	prendre
pour	S	pour
dupe	Nc	dupe
,	Fw	,
et	Cc	et
trompé	Ge	tromper
par	S	par
la	Da	le
mine	Nc	mine
.	Fs	.
Néron	Nc	néron
qui	Pr	qui
fit	Vvc	faire
mourir	Vvn	mourir
feu	Nc	feu
sa	Ds	son
mère	Nc	mère
Agrippine	Vvc	agrippine
,	Fw	,
(	Fw	(
À	Nc	à
ce	Pd	ce
que	Pr	que
m'	Pp	je
en	Pp	en
ont	Vuc	avoir
dit	Ge	dire
gens	Nc	gens|gent
qui	Pr	qui
le	Pp	il
savent	Vvc	savoir
bien	Rg	bien
,	Fw	,
)	Fw	)
Paraissait	Vvc	paraître
être	Vun	être
bon	Ag	bon
,	Fw	,
et	Cc	et
fi	Rg	fi
ne	Rp	ne
valait	Vvc	valoir
rien	Pi	rien
.	Fs	.
Cela	Pd	cela
s'	Pp	se
adresse	Vvc	adresser
à	S	à
vous	Pp	vous
,	Fw	,
Don	Nc	don
Félix	Nc	félix
de	S	de
Fonseque	Nc	fonseque
.	Fs	.
De	S	de
la	Da	le
part	Nc	part
de	S	de
Néron	Nc	néron
,	Fw	,
sache	Vvc	savoir
,	Fw	,
Monsieur	Ag	monsieur
Sénèque	Nc	sénèque
,	Fw	,
Qu'	Vvc	qu'
un	Dn	un
valet	Nc	valet
qui	Pr	qui
conseille	Vvc	conseiller
,	Fw	,
au	S+Da	à+le
lieu	Nc	lieu
d'	S	de
être	Vun	être
écouté	Ge	écouter
,	Fw	,
Mérite	Vvc	mérite
bien	Rg	bien
souvent	Rg	souvent
de	S	de
se	Pp	il
voir	Vvn	voir
bien	Rg	bien
frotté	Ge	frotter
,	Fw	,
De	Vvc	de
même	Rg	même
que	Cs	que
mon	Ds	mon
bras	Nc	bras
a	Vuc	avoir
tantôt	Rg	tantôt
su	Ge	savoir
bien	Rg	bien
faire	Vvn	faire
,	Fw	,
Et	Vvc	et
saura	Vvc	savoir
bien	Rg	bien
encor	Nc	encor
,	Fw	,
si	Cs	si
tu	Pp	tu
ne	Rp	ne
te	Pp	tu
sais	Vvc	savoir
taire	Vvn	taire
.	Fs	.
Êtes	Vvc	êtes
-vous	Nc	-vous
résolu	Ge	résoudre
de	S	de
ne	Rp	ne
recevoir	Vvn	recevoir
pas	Rg	pas
Mes	Ag	mes
conseils	Nc	conseil
?	Fs	?
Oui	Rg	oui
,	Fw	,
sans	S	sans
doute	Nc	doute
.	Fs	.
Allons	Vvc	aller
tout	Rg	tout
de	S	de
ce	Dd	ce
pas	Nc	pas
,	Fw	,
Donnez	Vvc	donner
-moi	Vvc	-moi
de	S	de
l'	Da	le
argent	Nc	argent
et	Cc	et
que	Cs	que
je	Pp	je
me	Pp	je
retire	Vvc	retirer
.	Fs	.
Quoi	Pt	quoi
,	Fw	,
tu	Pp	tu
veux	Vvc	vouloir
