ARGUMENT	Nc	argument
DU	Vvc	du
PREMIER	Nc	premier
ACTE	Vvc	acter
.	Fs	.
Minerve	Nc	minerve
Dame	Nc	dame
Macédonienne	Vvc	macédonienne
ayant	Ga	avoir
été	Ge	être
enlevée	Ge	enlever
par	S	par
Atalle	Nc	atalle
ami	Nc	ami
de	S	de
Philippe	Nc	philippe
,	Fw	,
vient	Vvc	venir
pour	S	pour
lui	Pp	il
demander	Vvn	demander
justice	Nc	justice
de	S	de
cette	Dd	ce
violence	Nc	violence
.	Fs	.
1.	Dt	@ord@
Elle	Nc	elle
est	Vuc	être
dans	S	dans
les	Da	le
jardins	Nc	jardin
du	S+Da	de+le
Prince	Nc	prince
où	Pr	où
faisant	Ga	faire
réflexion	Nc	réflexion
sur	S	sur
sa	Ds	son
disgrâce	Nc	disgrâce
,	Fw	,
elle	Pp	il
implore	Vvc	implorer
la	Da	le
clémence	Nc	clémence
des	S+Da	de+le|de+les
Dieux	Nc	dieux
,	Fw	,
et	Cc	et
les	Da	le
conjure	Nc	conjuré
de	S	de
porter	Vvn	porter
l'	Da	le
esprit	Nc	esprit
de	S	de
son	Ds	son
Souverain	Nc	souverain
à	S	à
lui	Pp	il
faire	Vvn	faire
raison	Nc	raison
de	S	de
cette	Dd	ce
offense	Nc	offence
.	Fs	.
2.	Pt	@ord@
Sa	Vvc	sa
confidente	Nc	confident
la	Da	le
trouvant	Ga	trouver
dans	S	dans
un	Dn	un
état	Nc	état
qui	Pr	qui
l'	Pp	il
informait	Vvc	informer
assez	Rg	assez
du	S+Da	de+le
trouble	Nc	trouble
de	S	de
son	Ds	son
âme	Nc	âme
,	Fw	,
tâche	Vvc	tâcher
de	S	de
la	Pp	il
consoler	Vvn	consoler
jusqu'	S	jusque
à	S	à
ce	Pd	ce
que	Pr	que
Philippe	Vvc	philippe
venant	Ga	venir
avec	S	avec
Atalle	Nc	atalle
dans	S	dans
ces	Dd	ce
jardins	Nc	jardin
l'	Pp	il
oblige	Vvc	obliger
à	S	à
s'	Pp	se
y	Pp	y
cacher	Vvn	cacher
.	Fs	.
3.	Pt	@ord@
Philippe	Vvc	philippe
en	S	en
assurant	Ga	assurer
Atalle	Vvc	atalle
de	S	de
son	Ds	son
amitié	Nc	amitié
lui	Pp	il
représente	Vvc	représenter
l'	Da	le
excès	Nc	excès
de	S	de
son	Ds	son
crime	Nc	crime
,	Fw	,
et	Cc	et
lui	Pp	il
témoigne	Vvc	témoigner
que	Cs	que
c'	Pd	ce
est	Vuc	être
avec	S	avec
une	Dn	un
répugnance	Nc	répugnance
forcée	Ge	forcer
qu'	Cs	que
il	Pp	il
laisse	Vvc	laisser
cette	Dd	ce
offense	Nc	offence
impunie	Ag	impuni
,	Fw	,
et	Cc	et
fait	Vvc	faire
pencher	Vvn	pencher
la	Da	le
balance	Nc	balance
du	S+Da	de+le
côté	Nc	côté
de	S	de
l'	Da	le
amitié	Nc	amitié
.	Fs	.
4.	Dt	@ord@
Alexandre	Nc	alexandre
s'	Pp	se
étonnant	Ga	étonner
de	S	de
l'	Da	le
absence	Nc	absence
de	S	de
son	Ds	son
père	Nc	père
en	S	en
un	Dn	un
temps	Nc	temps
où	Pr	où
les	Da	le
Ambassadeurs	Nc	ambassadeur
des	S+Da	de+le|de+les
Grecs	Nc	grec
l'	Pp	il
attendaient	Vvc	attendre
avec	S	avec
impatience	Nc	impatience
pour	S	pour
célébrer	Vvn	célébrer
les	Da	le
noces	Nc	noce
de	S	de
Cléopâtre	Nc	cléopâtre
,	Fw	,
vient	Vvc	venir
de	S	de
le	Pp	il
prier	Vvn	prier
de	S	de
se	Pp	il
rendre	Vvn	rendre
auprès	Rg	auprès
d'	S	de
elle	Pp	il
,	Fw	,
mais	Cc	mais
Philippe	Vvc	philippe
se	Pp	il
sentant	Ga	sentir
ému	Ge	émouvoir
de	S	de
ses	Ds	son
inquiétudes	Nc	inquiétude
et	Cc	et
ne	Rp	ne
voulant	Ga	vouloir
pas	Rg	pas
faire	Vvn	faire
connaître	Vvn	connaître
son	Ds	son
faible	Nc	faible
à	S	à
ses	Ds	son
peuples	Nc	peuple
,	Fw	,
prend	Vvc	prendre
du	S+Da	de+le
temps	Nc	temps
pour	S	pour
se	Pp	il
remettre	Vvn	remettre
,	Fw	,
et	Cc	et
commande	Vvc	commander
à	S	à
tous	Di	tout
ses	Ds	son
gens	Nc	gens|gent
de	S	de
suivre	Vvn	suivre
son	Ds	son
fils	Nc	fil|fils
,	Fw	,
voulant	Ga	vouloir
faire	Vvn	faire
