Divin	Ag	divin
flambeau	Nc	flambeau
du	S+Da	de+le
Ciel	Nc	ciel
dont	Pr	dont
la	Da	le
course	Nc	course
diverse	Ag	divers
Visite	Vvc	visiter
l'	Da	le
Indien	Nc	indien
,	Fw	,
et	Cc	et
le	Da	le
Scythe	Nc	scythe
,	Fw	,
et	Cc	et
le	Pp	il
Perse	Vvc	perse
;	Fw	;
Qui	Vvc	qui
portes	Vvc	porter
ta	Ds	ton
lumière	Nc	lumière
en	S	en
cent	Nc	cent
climats	Nc	climat
divers	Ag	divers
,	Fw	,
Et	Vvc	et
qui	Pr	qui
fais	Vvc	faire
tous	Di	tout
les	Da	le
jours	Nc	jour
le	Da	le
tour	Nc	tour
de	S	de
l'	Da	le
Univers	Nc	univers
:	Fw	:
ToI	Pp	tu
qui	Pr	qui
de	S	de
tous	Di	tout
les	Da	le
Dieux	Nc	dieux
sais	Vvc	savoir
mieux	Rg	mieux
ce	Pd	ce
que	Pr	que
nous	Pp	nous
sommes	Vuc	être
,	Fw	,
Qui	Vvc	qui
peux	Vvc	pouvoir
mieux	Rg	mieux
remarquer	Vvn	remarquer
l'	Da	le
infortune	Nc	infortune
des	S+Da	de+le|de+les
hommes	Nc	homme
,	Fw	,
Qui	Vvc	qui
connais	Vvc	connaître
leur	Ds	leur
misère	Nc	misère
,	Fw	,
et	Cc	et
luis	Vvc	luire
sur	S	sur
leurs	Ds	leur
tombeaux	Nc	tombeau
,	Fw	,
Et	Vvc	et
d'	S	de
horreur	Nc	horreur
tous	Di	tout
les	Da	le
jours	Nc	jour
t'	Pp	tu
en	Pp	en
caches	Vvc	cacher
sous	S	sous
les	Da	le
eaux	Nc	eau
,	Fw	,
Fus	Nc	fus
-tu	Vvc	-tu
jamais	Rg	jamais
touché	Ge	toucher
d'	S	de
une	Dn	un
si	Rg	si
juste	Ag	juste
plainte	Nc	plainte
?	Fs	?
J'	Pp	je
ai	Vuc	avoir
vu	Ge	voir
dans	S	dans
une	Dn	un
nuit	Nc	nuit
ma	Ds	mon
race	Nc	race
presque	Rg	presque
éteinte	Ge	éteindre
;	Fw	;
Un	Vvc	un
barbare	Ag	barbare
,	Fw	,
un	Dn	un
tyran	Nc	tyran
de	S	de
mon	Ds	mon
bonheur	Nc	bonheur
jaloux	Ag	jaloux
,	Fw	,
M'	Vvc	m'
a	Vuc	avoir
ravi	Ge	ravir
mes	Ds	mon
enfants	Nc	enfant
,	Fw	,
et	Cc	et
mon	Ds	mon
fidèle	Ag	fidèle
époux	Nc	époux
.	Fs	.
Par	S	par
une	Dn	un
impiété	Nc	impiété
qui	Pr	qui
n'	Rp	ne
eut	Vuc	avoir
jamais	Rg	jamais
d'	S	de
exemple	Nc	exemple
,	Fw	,
Il	Vvc	il
a	Vuc	avoir
tué	Ge	tuer
son	Ds	son
Roi	Ag	roi
jusques	Nc	jusques
dedans	Rg	dedans
un	Dn	un
Temple	Nc	temple
,	Fw	,
Aux	Vvc	aux
yeux	Nc	œil
de	S	de
son	Ds	son
épouse	Nc	épouse|époux
et	Cc	et
des	Dn	un
Dieux	Ag	dieux
immortels	Nc	immortel
Et	Vvc	et
de	S	de
ce	Dd	ce
sacré	Nc	sacré
sang	Nc	sang
fait	Vvc	faire
rougir	Vvn	rougir
les	Da	le
autels	Nc	autel
.	Fs	.
Ce	Dd	ce
grand	Ag	grand
héros	Nc	héros
est	Vuc	être
mort	Ge	mourir
par	S	par
la	Da	le
main	Nc	main
d'	S	de
un	Dn	un
perfide	Ag	perfide
;	Fw	;
Qui	Vvc	qui
ne	Rp	ne
fut	Vuc	être
pas	Rg	pas
content	Ag	content
après	S	après
ce	Dd	ce
parricide	Nc	parricide
,	Fw	,
Il	Vvc	il
voulut	Vvc	vouloir
qu'	Cs	que
un	Dn	un
dessein	Nc	dessein
plein	Ag	plein
d'	S	de
