Avertis	Vvc	avertir
promptement	Rg	promptement
la	Da	le
princesse	Nc	prince|princesse
Hésione	Vvc	hésione
,	Fw	,
C'	Vvc	c'
est	Vuc	être
un	Dn	un
avis	Nc	avis
pressant	Ga	presser
qu'	Cs	que
il	Pp	il
faut	Vvc	faillir|falloir
que	Cs	que
je	Pp	je
lui	Pp	il
donne	Vvc	donner
:	Fw	:
À	Nc	à
Darie	Vvc	darie
.	Fs	.
Oui	Rg	oui
,	Fw	,
Seigneur	Nc	seigneur
,	Fw	,
c'	Pd	ce
est	Vuc	être
d'	Dn	un
Égypte	Nc	égypte
,	Fw	,
et	Cc	et
du	S+Da	de+le
camp	Nc	camp
du	S+Da	de+le
feu	Nc	feu
Roi	Vvc	roi
,	Fw	,
Que	Vvc	que
je	Pp	je
reviens	Vvc	revenir
ici	Rg	ici
plein	Ag	plein
de	S	de
trouble	Nc	trouble
et	Cc	et
d'	S	de
effroi	Nc	effroi
.	Fs	.
Hors	S	hors
d'	Dn	un
état	Nc	état
de	S	de
combattre	Vvn	combattre
,	Fw	,
ayant	Ga	avoir
quitté	Ge	quitter
l'	Da	le
Armée	Nc	armée
,	Fw	,
La	Vvc	la
victoire	Nc	victoire
,	Fw	,
ou	Cc	ou
la	Da	le
paix	Nc	paix
,	Fw	,
y	Pp	y
semblait	Vvc	sembler
confirmée	Ge	confirmer
.	Fs	.
Le	Da	le
sort	Nc	sort
a-t-il	V	avoir
changé	Ge	changer
?	Fs	?
Craint	Vvc	craindre
-on	Nc	-on
nos	Ds	notre
ennemis	Nc	ennemi
?	Fs	?
Quoique	Cs	quoique
de	S	de
ma	Ds	mon
blessure	Nc	blessure
encore	Rg	encore
mal	Rg	mal
remis	Ge	remettre
,	Fw	,
J'	Vvc	j'
irai	Vvc	aller
...	Fs	...
C'	Vvc	c'
est	Vuc	être
d'	Dn	un
autres	Ag	autre
maux	Nc	mal
que	Pr	que
je	Pp	je
viens	Vvc	venir
vous	Pp	vous
instruire	Vvn	instruire
;	Fw	;
Par	Nc	par
l'	Da	le
ordre	Nc	ordre
de	S	de
nos	Ds	notre
chefs	Nc	chef
,	Fw	,
ce	Pd	ce
qu'	Pr	que
on	Pp	on
craint	Vvc	craindre
pour	S	pour
l'	Da	le
Empire	Nc	empire
,	Fw	,
Avant	Ga	avant
que	Cs	que
voir	Vvn	voir
le	Da	le
roi	Nc	roi
,	Fw	,
doit	Vvc	devoir
paraître	Vvn	paraître
à	S	à
vos	Ds	votre
yeux	Nc	œil
.	Fs	.
Mais	Cc	mais
le	Da	le
roi	Nc	roi
pourrait	Vvc	pouvoir
bien	Rg	bien
nous	Pp	nous
surprendre	Vvn	surprendre
en	S	en
ces	Dd	ce
lieux	Nc	lieu
.	Fs	.
Non	Rg	non
,	Fw	,
non	Rg	non
,	Fw	,
depuis	S	depuis
six	Nc	six
mois	Nc	moi|mois
maître	Nc	maître
